horizon_days,target,cell,selected_algorithm,n_train,n_test,RMSE,MAE,R2,NSE,KGE,R2_reference_learner
1,snowc,0,Random Forest,19350,4018,4.702583384439119,1.4068779992874574,0.970132504952019,0.9701325036654229,0.9759461124347786,0.9701697826385498
1,snowc,1,Random Forest,19350,4018,5.225900476965486,1.3395481898609873,0.9814490830895974,0.9814490817456786,0.9883947084865373,0.9805364608764648
1,snowc,2,Random Forest,19350,4018,5.496296412231463,1.5855564151295942,0.9783098940098804,0.978309895045343,0.9861599449634295,0.9777666926383972
1,snowc,3,Random Forest,19350,4018,5.467722254975806,1.6158705995157514,0.9792519595311907,0.9792519599900568,0.987461121463258,0.9780191779136658
1,snowc,4,Random Forest,19350,4018,5.1375219913400585,1.5128630014071431,0.9839507882655216,0.983950789951696,0.9894001924118946,0.9831177592277527
1,snowc,5,Random Forest,19350,4018,4.93900003608357,1.0616282536810981,0.9862336500679236,0.9862336513805223,0.9905223011569916,0.9850025177001953
1,snowc,6,Random Forest,19350,4018,4.708055575298178,1.0177428020318833,0.9886570836061023,0.9886570845518838,0.9923823601401556,0.988277792930603
1,snowc,7,Random Forest,19350,4018,4.842586386741742,1.0910033115669853,0.9881108493319392,0.988110849871779,0.9923607366563426,0.9873140454292297
1,snowc,8,Random Forest,19350,4018,5.013557033835663,1.189511949754575,0.9876276818614769,0.9876276813182993,0.9923236541492737,0.9867285490036011
1,snowc,9,Random Forest,19350,4018,5.316158068546658,1.1724312691720662,0.9868672263509182,0.9868672276106418,0.9914601879122287,0.9866644740104675
1,snowc,10,Random Forest,19350,4018,4.852869473286473,1.037971955404914,0.989541272130589,0.9895412724609413,0.9936118085278056,0.9896142482757568
1,snowc,11,Random Forest,19350,4018,4.835474443250595,1.0810214747156486,0.9883097811897188,0.988309780087461,0.9929143875518576,0.9875689744949341
1,snowc,12,Random Forest,19350,4018,4.927117003967817,1.1158307499998834,0.9878941399477073,0.987894140231098,0.9923986981550853,0.9879856705665588
1,snowc,13,Random Forest,19350,4018,4.8864652620804545,1.0920503673057955,0.9881925046822252,0.9881925025442359,0.9924121023135479,0.9880234599113464
1,snowc,14,Random Forest,19350,4018,4.7546455362802345,1.0249569685281685,0.9889813298529823,0.9889813292201831,0.9935309869871446,0.9885326027870178
1,snowc,15,Random Forest,19350,4018,4.802774866563349,1.0348175574939718,0.9891371795683733,0.9891371788818178,0.9932926863183184,0.988767147064209
1,snowc,16,Random Forest,19350,4018,4.915682959263177,1.101547578297408,0.9879605944376151,0.987960593181042,0.9927789305121486,0.9868868589401245
1,snowc,17,Random Forest,19350,4018,5.125690415717775,1.097789239565692,0.9870253851315465,0.9870253859379846,0.9920407428511924,0.9864099025726318
1,snowc,18,Random Forest,19350,4018,4.828702255039461,1.0594543656011575,0.9885706653561737,0.9885706663473127,0.9929141736421139,0.9873170256614685
1,snowc,19,Random Forest,19350,4018,4.7235430452214615,1.0276988832771066,0.9894302270445271,0.9894302260705335,0.9936238044421946,0.9885250329971313
1,snowc,20,Random Forest,19350,4018,4.472100949469771,0.932564262487428,0.9908828680882077,0.9908828686723118,0.994415757291591,0.9904338121414185
1,snowc,21,Random Forest,19350,4018,4.602813196610506,1.0211313778342272,0.990252424531832,0.9902524246098613,0.9939662544608437,0.9892960786819458
1,snowc,22,Random Forest,19350,4018,4.731204625901009,1.0416278194981499,0.9898447499839182,0.989844750858136,0.9936148710631182,0.9893900752067566
1,snowc,23,Random Forest,19350,4018,4.701035504558472,1.0360496119825156,0.990044162815198,0.9900441644451538,0.9931701367469385,0.9897822141647339
1,snowc,24,Random Forest,19350,4018,4.838418784823806,1.1428625062232645,0.9889181255723473,0.9889181245818738,0.993418420358286,0.98858642578125
1,snowc,25,Random Forest,19350,4018,5.31501580411549,1.3231219286505596,0.9855461145425771,0.9855461133548304,0.9915530959065818,0.9854210615158081
1,snowc,26,Random Forest,19350,4018,4.417249617775116,0.8982642372713373,0.991240289597344,0.9912402883526203,0.9946830359515616,0.9908267855644226
