year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2067,40.859142,0.14506324,735.4019,6.220512448566665,0.18935998,bcc_csm2_mr,SSP2-4.5
2068,48.00416,0.14836426,828.8323,6.226938075318351,0.766501,bcc_csm2_mr,SSP2-4.5
2069,41.046585,0.13333938,730.4713,6.1718452456731,0.84943384,bcc_csm2_mr,SSP2-4.5
2070,44.436127,0.13087466,869.92444,6.546479858005603,0.3601823,bcc_csm2_mr,SSP2-4.5
2071,47.09912,0.17770241,885.0041,6.062441153687776,1.9090675,bcc_csm2_mr,SSP2-4.5
2072,45.465183,0.15110451,507.91858,6.17966758639398,2.4147642,bcc_csm2_mr,SSP2-4.5
2073,48.224075,0.17008793,804.415,6.156151049033501,2.4865642,bcc_csm2_mr,SSP2-4.5
2074,48.927197,0.15203266,602.4217,5.604368138690073,1.7716421,bcc_csm2_mr,SSP2-4.5
2075,42.38846,0.12462488,647.19305,6.196291286326216,1.3296467,bcc_csm2_mr,SSP2-4.5
2076,45.304424,0.13100831,806.9097,6.096783948588037,0.48259747,bcc_csm2_mr,SSP2-4.5
2077,41.541252,0.14036296,528.86487,6.2325133316169214,2.133508,bcc_csm2_mr,SSP2-4.5
2078,42.93752,0.12123463,739.8889,5.543040401250294,11.102599,bcc_csm2_mr,SSP2-4.5
2079,39.922474,0.14260009,538.2883,6.243349108468485,0.36063197,bcc_csm2_mr,SSP2-4.5
2080,43.873394,0.14310677,861.43726,5.898287604785384,0.4804844,bcc_csm2_mr,SSP2-4.5
2081,46.341034,0.1490383,643.97845,5.497282322008374,0.792142,bcc_csm2_mr,SSP2-4.5
2082,44.380398,0.1448208,634.8169,7.014080468284914,0.6007175,bcc_csm2_mr,SSP2-4.5
2083,40.635464,0.12779665,870.2321,6.844358335407819,0.22820972,bcc_csm2_mr,SSP2-4.5
2084,47.94101,0.14517061,930.5011,5.779737749421945,0.9563201,bcc_csm2_mr,SSP2-4.5
2085,40.824314,0.15984273,628.239,6.613298510369559,2.0386407,bcc_csm2_mr,SSP2-4.5
2086,45.988117,0.16261083,721.8047,6.265795083431268,1.7800622,bcc_csm2_mr,SSP2-4.5
2087,39.879463,0.14379472,514.84106,6.755195428415714,1.8542203,bcc_csm2_mr,SSP2-4.5
2088,40.77425,0.12794596,723.99286,6.717032398899135,0.44829,bcc_csm2_mr,SSP2-4.5
2089,41.129555,0.14835824,606.93256,7.333605944962581,0.45484278,bcc_csm2_mr,SSP2-4.5
2090,38.718864,0.106209554,520.8425,7.465916272496263,0.41447294,bcc_csm2_mr,SSP2-4.5
2091,44.381405,0.13086268,766.9647,5.917579961939851,0.52825296,bcc_csm2_mr,SSP2-4.5
2092,46.821285,0.14593853,825.0733,6.092915484187529,1.7902836,bcc_csm2_mr,SSP2-4.5
2093,41.752697,0.12705846,565.5517,6.625342431543225,0.7534776,bcc_csm2_mr,SSP2-4.5
2094,41.04735,0.12352702,605.60767,6.636124988983648,2.092879,bcc_csm2_mr,SSP2-4.5
2095,40.552475,0.12606303,482.01047,6.548116200753753,0.85879976,bcc_csm2_mr,SSP2-4.5
2096,43.847034,0.11589108,834.06165,7.683194139949415,0.20479488,bcc_csm2_mr,SSP2-4.5
2097,38.852337,0.12157775,648.55774,6.820524882051138,1.5843643,bcc_csm2_mr,SSP2-4.5
2098,43.26941,0.1308162,810.4111,6.880843165569442,0.558904,bcc_csm2_mr,SSP2-4.5
2099,45.874557,0.13860762,731.5948,6.002884293443607,0.41357544,bcc_csm2_mr,SSP2-4.5
2015,46.406284,0.15753332,789.7778,5.369261837541802,0.8478792,bcc_csm2_mr,SSP5-8.5
2016,43.440247,0.13332874,752.56903,5.217761536117769,0.54781234,bcc_csm2_mr,SSP5-8.5
2017,45.887035,0.14586677,524.7609,3.814714667225696,2.3973992,bcc_csm2_mr,SSP5-8.5
2018,51.909595,0.16423641,602.5639,4.499249709607568,6.8923573,bcc_csm2_mr,SSP5-8.5
2019,54.63033,0.17368257,896.79266,3.9887677551122374,6.7761765,bcc_csm2_mr,SSP5-8.5
2020,43.54115,0.15757473,351.4923,5.0042181291988035,9.53473,bcc_csm2_mr,SSP5-8.5
2021,49.655643,0.13324435,713.6896,4.949494742645169,0.7018208,bcc_csm2_mr,SSP5-8.5
2022,40.854256,0.13302886,590.575,6.023217264293631,1.4062867,bcc_csm2_mr,SSP5-8.5
2023,46.387466,0.15463172,813.24506,4.613267496602284,4.990339,bcc_csm2_mr,SSP5-8.5
2024,46.249012,0.16321205,844.2068,4.833547022134311,4.6978755,bcc_csm2_mr,SSP5-8.5
2025,46.445618,0.16285941,870.01825,5.081899749723672,5.2312274,bcc_csm2_mr,SSP5-8.5
2026,49.082066,0.17395192,527.90265,4.5826318382325315,4.252725,bcc_csm2_mr,SSP5-8.5
2027,46.11363,0.1489747,891.6535,5.3669606626457025,2.7618332,bcc_csm2_mr,SSP5-8.5
2028,44.80978,0.17277534,644.7293,5.346390022045539,1.6910518,bcc_csm2_mr,SSP5-8.5
2029,40.992702,0.13309601,599.1153,6.2676273408009004,0.26315352,bcc_csm2_mr,SSP5-8.5
2030,46.309704,0.15033488,650.4569,4.992961087127052,2.625799,bcc_csm2_mr,SSP5-8.5
2031,48.645294,0.17256701,753.96405,5.077182949009148,0.30891505,bcc_csm2_mr,SSP5-8.5
2032,44.27715,0.15163776,678.13,5.024164349461558,13.13827,bcc_csm2_mr,SSP5-8.5
2033,50.33717,0.17466795,616.019,5.135654719474261,3.1315992,bcc_csm2_mr,SSP5-8.5
2034,46.6232,0.15117955,750.89197,4.562001418228334,13.441307,bcc_csm2_mr,SSP5-8.5
2035,49.97475,0.1812607,450.15585,4.779616273133752,3.0149124,bcc_csm2_mr,SSP5-8.5
2036,45.714382,0.13789691,752.0124,4.719402452829537,2.4130762,bcc_csm2_mr,SSP5-8.5
2037,48.548206,0.13867846,796.71265,5.132424382434162,1.0905275,bcc_csm2_mr,SSP5-8.5
2038,44.382473,0.11527831,507.42297,5.5245439183841105,0.8176177,bcc_csm2_mr,SSP5-8.5
2039,44.84232,0.131944,663.106,6.4014415748079,0.716018,bcc_csm2_mr,SSP5-8.5
2040,45.260693,0.15118141,416.6355,5.3266634123126835,4.2355494,bcc_csm2_mr,SSP5-8.5
2041,45.118893,0.15760414,841.40436,5.279714549647529,2.9987547,bcc_csm2_mr,SSP5-8.5
2042,45.143566,0.12687922,827.5814,6.563643429683883,0.12479598,bcc_csm2_mr,SSP5-8.5
2043,42.187965,0.12061047,599.7574,5.837445924298518,3.0688105,bcc_csm2_mr,SSP5-8.5
2044,45.680256,0.123233825,721.9581,5.150667031275144,0.58444613,bcc_csm2_mr,SSP5-8.5
2045,40.086735,0.113139965,468.59714,6.059871098646958,2.1852446,bcc_csm2_mr,SSP5-8.5
