horizon_days,target,target_col,input_design,n_features,RMSE,MAE,R2,NSE,KGE
1,snowc,snowc_h1,All features,34,2.686594121207752,0.49982405519276557,0.9969760430359158,0.9969760430359158,0.9976920289396907
1,snowc,snowc_h1,MI-selected features,4,4.419706723209606,0.7605487229157278,0.9918161362579533,0.9918161362579533,0.9937799992752856
1,sd,sd_h1,All features,34,0.0036040705163023594,0.0017149640312750707,0.9996880107745998,0.9996880107745998,0.9991859062083401
1,sd,sd_h1,MI-selected features,6,0.005740563375146042,0.0027337195297217286,0.9992084796807023,0.9992084796807023,0.9995638362884851
1,smlt_mm,smlt_mm_h1,All features,34,1.043588404694809,0.3577706560823726,0.9574831764101327,0.9574831764101327,0.9580995886394548
1,smlt_mm,smlt_mm_h1,MI-selected features,12,1.1411794317736588,0.3870516384503629,0.9491594556285148,0.9491594556285148,0.9419347605761903
7,snowc,snowc_h7,All features,34,10.404315011812503,3.4152458973711544,0.9546477882513629,0.9546477882513629,0.9616625508161982
7,snowc,snowc_h7,MI-selected features,6,10.714112485177845,3.5370231905695677,0.9519067762670375,0.9519067762670375,0.957135285849525
7,sd,sd_h7,All features,34,0.02164636773397522,0.01203330537478436,0.9887455804606788,0.9887455804606788,0.9904948415541601
7,sd,sd_h7,MI-selected features,10,0.023991562117694064,0.013454978534876831,0.9861748424535914,0.9861748424535914,0.9837693780620979
7,smlt_mm,smlt_mm_h7,All features,34,2.0315028445243453,0.7451523501777864,0.8388845492527557,0.8388845492527557,0.7923772898787249
7,smlt_mm,smlt_mm_h7,MI-selected features,8,2.03485601683592,0.759250794036396,0.8383522401467745,0.8383522401467745,0.7783234284440412
15,snowc,snowc_h15,All features,34,12.18212212086718,4.602079743174212,0.9378247724211567,0.9378247724211567,0.9441727904581697
15,snowc,snowc_h15,MI-selected features,8,12.590842016662927,4.678958407338187,0.9335827277375015,0.9335827277375015,0.9428151811269471
15,sd,sd_h15,All features,34,0.03659907741805989,0.020730095033202566,0.9678268701082562,0.9678268701082562,0.9668721023698577
15,sd,sd_h15,MI-selected features,12,0.03753724587129516,0.0210610840968893,0.966156299232956,0.966156299232956,0.9557560335952151
15,smlt_mm,smlt_mm_h15,All features,34,2.2250752048156355,0.843668119880626,0.806717867092613,0.806717867092613,0.7413913862877965
15,smlt_mm,smlt_mm_h15,MI-selected features,10,2.2151806567346095,0.8306217216387857,0.8084330335728344,0.8084330335728344,0.7322264738796231
30,snowc,snowc_h30,All features,34,13.241172602537246,5.447848661810707,0.9265444898166003,0.9265444898166003,0.9248278130755956
30,snowc,snowc_h30,MI-selected features,12,13.150731705777792,5.265221678915547,0.9275445061046198,0.9275445061046198,0.9247743294955622
30,sd,sd_h30,All features,34,0.061113979687283104,0.03345123432890811,0.9102913817399645,0.9102913817399645,0.9098742611606837
30,sd,sd_h30,MI-selected features,12,0.06124706325848104,0.0338937068606116,0.9099002521678792,0.9099002521678792,0.9064504065740807
30,smlt_mm,smlt_mm_h30,All features,34,2.585761452275677,0.9944800955644041,0.7389767247357057,0.7389767247357057,0.7886990238350945
30,smlt_mm,smlt_mm_h30,MI-selected features,8,2.6603462884423967,0.9955109332738186,0.7237014135354247,0.7237014135354247,0.7835777697500325
