station,station_id,station_elevation_m,in_province,comparison,cell_elevation_m,elevation_difference_m,record_start,record_end,n_days,observed_mean_mm,modelled_mean_mm,ratio,bias_mm,MAE_mm,RMSE_mm,debiased_RMSE_mm,pearson_r,spearman_rho
Hakkari,TUM00017285,1728.0,True,nearest cell,2282.0962096057915,554.0962096057915,2013-12-05,2025-05-15,812,267.35221674876846,1020.737671061139,3.817951029073863,753.3854543123706,754.091894602504,895.6659310622199,484.38395648090614,0.34359531761580797,0.38932615952480093
Hakkari,TUM00017285,1728.0,True,elevation-matched cell,1695.8855908929982,-32.11440910700185,2013-12-05,2025-05-15,812,267.35221674876846,836.319195106699,3.128155080504121,568.9669783579305,571.9154973071197,705.5585066613529,417.240199238334,0.5747331526921453,0.5897310767180111
Van,TU000017170,1662.0,False,nearest cell,1714.9376920777927,52.93769207779269,1973-01-07,2025-04-27,2859,105.32423924449108,226.413388369831,2.1496797887545473,121.08914912533993,152.34604225896922,194.71414845372763,152.4828435338267,0.2672038338610189,0.2931960963723938
Van,TU000017170,1662.0,False,elevation-matched cell,1787.0488707557251,125.04887075572515,1973-01-07,2025-04-27,2859,105.32423924449108,260.4553073167634,2.472890468377025,155.13106807227234,182.67621785567,246.26867885049487,191.26582000327238,0.30027398199348065,0.37571720623781935
