indicator,spearman_rho,p_value,boot_lo95,boot_hi95,boot_sd,sign_stable,permutation_p,n_years
cryosense_snowmelt_forecast_mm,0.3991304347826086,0.053344962412252665,-0.054222488038277485,0.7421916217927589,0.20821818567894393,0.9586,0.0537946205379462,24
cpdd_C_days,-0.42869565217391303,0.03660002306000617,-0.766975831413639,0.0302062052688407,0.20665414018250686,0.9665,0.0364963503649635,24
mean_swe_m,0.508695652173913,0.011135557260269255,0.07529277124950133,0.8288390730448588,0.19571041048618643,0.9882,0.010498950104989501,24
