horizon_days,target,target_col,feature_group,n_selected,RMSE,MAE,R2,NSE,KGE
1,snowc,snowc_h1,A_atmosphere_energy,12,5.0225002120902795,1.4858441240283309,0.9894315471673053,0.9894315471673053,0.9926557331127404
1,snowc,snowc_h1,B_atmosphere_snowfall_memory,4,4.3798517089431055,0.7748690767459887,0.9919630679007673,0.9919630679007673,0.9937875817337969
1,snowc,snowc_h1,C_full_reanalysis_state,8,4.388008426703383,0.7268346520278358,0.9919331052291629,0.9919331052291629,0.9947703441351641
1,sd,sd_h1,A_atmosphere_energy,12,0.09304130754914867,0.04731136992339804,0.7920759879282041,0.7920759879282041,0.8528633282577327
1,sd,sd_h1,B_atmosphere_snowfall_memory,12,0.005557116996251276,0.002689908822230952,0.9992582592877121,0.9992582592877121,0.9984022300198369
1,sd,sd_h1,C_full_reanalysis_state,12,0.005484150084399378,0.0026179627147655707,0.9992776100428717,0.9992776100428717,0.9980649835992443
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,12,1.1142784517027675,0.4194740320769614,0.9515281288252637,0.9515281288252637,0.9339994906775642
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,12,1.1445754271848616,0.3857935942519882,0.9488564162494076,0.9488564162494076,0.9419210678449645
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,12,1.2681282107520464,0.4317683258524797,0.9372189392830582,0.9372189392830582,0.9184444020520148
7,snowc,snowc_h7,A_atmosphere_energy,12,12.298243228839883,4.451464723322684,0.9366338031614501,0.9366338031614501,0.9506766069063927
7,snowc,snowc_h7,B_atmosphere_snowfall_memory,6,10.629657835957351,3.527630260743535,0.9526619835808503,0.9526619835808503,0.9578720690802581
7,snowc,snowc_h7,C_full_reanalysis_state,6,10.466434273449499,3.4704435642269527,0.9541046182054677,0.9541046182054677,0.9582594779491578
7,sd,sd_h7,A_atmosphere_energy,12,0.09701803603467764,0.05037915520265019,0.7739221605435289,0.7739221605435289,0.8381055055729133
7,sd,sd_h7,B_atmosphere_snowfall_memory,10,0.024072481931483976,0.013515921379806053,0.9860814249580009,0.9860814249580009,0.9832438540759646
7,sd,sd_h7,C_full_reanalysis_state,12,0.02310936528868747,0.013052976671312711,0.9871728825448823,0.9871728825448823,0.9854616802836227
7,smlt_mm,smlt_mm_h7,A_atmosphere_energy,12,2.5256230428295243,0.9611850668963714,0.7509770442627224,0.7509770442627224,0.7432676428804468
7,smlt_mm,smlt_mm_h7,B_atmosphere_snowfall_memory,6,2.0304901800662267,0.7514983011468281,0.8390451350240767,0.8390451350240767,0.7866666047332568
7,smlt_mm,smlt_mm_h7,C_full_reanalysis_state,6,2.082614384294148,0.7776227922561998,0.8306754038490276,0.8306754038490276,0.770983074247407
15,snowc,snowc_h15,A_atmosphere_energy,12,15.577598314647355,6.348349890562631,0.89833476058145,0.89833476058145,0.9166540416841124
15,snowc,snowc_h15,B_atmosphere_snowfall_memory,8,12.649580171683606,4.6627517327719605,0.9329615893046289,0.9329615893046289,0.9421882361652876
15,snowc,snowc_h15,C_full_reanalysis_state,10,12.681516111437112,4.575192735360778,0.9326226630815665,0.9326226630815665,0.9431121717283937
15,sd,sd_h15,A_atmosphere_energy,12,0.09967763293317272,0.05267869763132545,0.7613571270202257,0.7613571270202257,0.8212110791235936
15,sd,sd_h15,B_atmosphere_snowfall_memory,12,0.036945078255822904,0.02081681033517886,0.9672156771341482,0.9672156771341482,0.9583438703719119
15,sd,sd_h15,C_full_reanalysis_state,12,0.03834300218218036,0.021735719317002387,0.9646877602006951,0.9646877602006951,0.9574883488752978
15,smlt_mm,smlt_mm_h15,A_atmosphere_energy,10,3.074117200216819,1.209774578678294,0.6310706872077108,0.6310706872077108,0.6805090188464302
15,smlt_mm,smlt_mm_h15,B_atmosphere_snowfall_memory,10,2.214024248965953,0.8301097855753238,0.8086329917154271,0.8086329917154271,0.7467638311401257
15,smlt_mm,smlt_mm_h15,C_full_reanalysis_state,10,2.2703067414586524,0.8627827896524769,0.7987798823390773,0.7987798823390773,0.7643352968189763
30,snowc,snowc_h30,A_atmosphere_energy,12,16.642815804019367,6.972209526393174,0.8839553563647512,0.8839553563647512,0.8982245682447201
30,snowc,snowc_h30,B_atmosphere_snowfall_memory,12,12.819496205906923,5.196937690804803,0.9311485006304723,0.9311485006304723,0.927535608966604
30,snowc,snowc_h30,C_full_reanalysis_state,12,15.065163088346383,6.24154254247106,0.9049134345278288,0.9049134345278288,0.9224599207300948
30,sd,sd_h30,A_atmosphere_energy,6,0.10536548771984425,0.05762263061509872,0.7333449579060893,0.7333449579060893,0.7813717445111865
30,sd,sd_h30,B_atmosphere_snowfall_memory,12,0.061243669039281017,0.033662762206491954,0.9099102382734571,0.9099102382734571,0.9052978732450527
30,sd,sd_h30,C_full_reanalysis_state,12,0.0607565987358692,0.03296173596351564,0.9113375060863927,0.9113375060863927,0.9163017395764276
30,smlt_mm,smlt_mm_h30,A_atmosphere_energy,4,3.4929117587054317,1.368001303783849,0.523703325210499,0.523703325210499,0.6727808649547928
30,smlt_mm,smlt_mm_h30,B_atmosphere_snowfall_memory,6,2.636796804483949,0.977342813439055,0.7285713738343147,0.7285713738343147,0.7804798217128364
30,smlt_mm,smlt_mm_h30,C_full_reanalysis_state,8,2.657013787711479,1.0140439744237744,0.7243931945595312,0.7243931945595312,0.7975155631667521
