horizon_days,target,method,RMSE,MAE,R2,NSE,KGE,RMSE_ci_low,RMSE_ci_high,R2_ci_low,R2_ci_high,block_len_days,bootstrap_draws
1,snowc,CryoSENSE-HK (Random Forest),4.439030601986828,0.7338052190025853,0.9917444166982415,0.9917444166982415,0.9946096560088061,3.578890441435184,5.140601328955086,0.9888732037585016,0.9946365174013319,2,2000
1,snowc,Persistence (issue-day t),5.308060151058535,0.8926525784481633,0.9881956206618884,0.9881956206618884,0.9940978103309446,4.314077459355204,6.253929315063346,0.983550462944719,0.9922118146551306,2,2000
1,snowc,Training target-DOY climatology,18.158031047967448,7.460911345652855,0.8618633261161475,0.8618633261161475,0.8711860352966729,16.918964862133578,19.45870838588785,0.8406633199840372,0.8802626826187073,2,2000
1,snowc,Lagged linear regression,4.976384040977973,1.1366432029130005,0.9896247334424768,0.9896247334424768,0.9930416098974805,3.994411662638559,5.843798463282285,0.9856344135923517,0.9933372047292897,2,2000
1,snowc,Seasonal AR with annual harmonics,4.891336726854283,1.344355238715165,0.9899763335022317,0.9899763335022317,0.9922826838707297,3.98569576111691,5.716939217353255,0.98634852606088,0.9933164202468358,2,2000
1,snowc,Exponential smoothing,5.404716120336694,0.9277740938259278,0.9877618080224074,0.9877618080224074,0.9938714336625052,4.418796079285581,6.328395633762888,0.9831960540844005,0.9918183763859045,2,2000
1,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",4.891031017757253,1.3379431242109538,0.9899775864236495,0.9899775864236495,0.9929785295836131,3.982257147830677,5.806444258942835,0.985866466925943,0.9933763667743523,2,2000
1,sd,CryoSENSE-HK (Random Forest),0.0050027752913750865,0.0023746511793852633,0.9993988608278713,0.9993988608278713,0.9970792212340034,0.0046399819751044595,0.005340873323112857,0.9993100790505891,0.9994838796992482,2,2000
1,sd,Persistence (issue-day t),0.007690324479777995,0.0032774420758787857,0.9985794963125099,0.9985794963125099,0.9992730319135313,0.00721513363607967,0.008174402597685352,0.9983759603543101,0.9987647929761984,2,2000
1,sd,Training target-DOY climatology,0.12009409579275354,0.06595136754741661,0.6535852706023058,0.6535852706023058,0.6941536185948982,0.11326731010847671,0.12687385046283942,0.6094203824838967,0.6924341486749366,2,2000
1,sd,Lagged linear regression,0.0046960970090713676,0.0022408070843380145,0.9994703034358459,0.9994703034358459,0.9993968930000565,0.004353863589787864,0.005037407766525853,0.9993869433836142,0.9995503739454623,2,2000
1,sd,Seasonal AR with annual harmonics,0.004656231591096605,0.002252447318597038,0.9994792585085472,0.9994792585085472,0.9987096244611628,0.004326031657381033,0.004980918727783954,0.9993945404313509,0.9995538272709005,2,2000
1,sd,Exponential smoothing,0.008002295567122144,0.0034389059110246775,0.9984619083560946,0.9984619083560946,0.9992122518153456,0.0075051536278060585,0.008478857417204983,0.9982280376805114,0.9986589438829665,2,2000
1,sd,"SARIMAX(3, 0, 1) with Fourier seasonality",0.004757328243067472,0.0024560315877437343,0.9994564002207115,0.9994564002207115,0.9990209098169964,0.004431785140081405,0.0050891901788806424,0.9993673844054771,0.9995360466881521,2,2000
