overlap_threshold,n_cells,province_km2_covered,province_fraction_covered
0.0,105,7469.401109988705,0.9999999999998961
0.1,96,7446.918237384671,0.996990003311679
0.25,82,7191.792183432788,0.9628338440433435
0.4,79,7088.276224903302,0.9489751749204542
0.5,75,6914.303812678402,0.9256838280422913
