target,cell,top_k,shared_with_study_cell,ws_rank,top_feature
sd,72,12,11,34,sd_lag0
sd,73,12,11,34,sd_lag0
sd,74,12,11,34,sd_lag0
sd,75,12,11,34,sd_lag0
sd,76,12,10,34,sd_lag0
sd,77,12,10,34,sd_lag0
sd,78,12,10,34,sd_lag0
sd,79,12,10,34,sd_lag0
sd,80,12,10,34,sd_lag0
sd,81,12,10,34,sd_lag0
smlt_mm,0,6,2,30,doy_cos
smlt_mm,1,6,2,30,doy_cos
smlt_mm,2,6,2,33,doy_cos
smlt_mm,3,6,2,34,doy_cos
smlt_mm,4,6,5,34,doy_cos
smlt_mm,5,6,4,28,doy_cos
smlt_mm,6,6,5,34,doy_cos
smlt_mm,7,6,5,34,doy_cos
smlt_mm,8,6,5,34,doy_cos
smlt_mm,9,6,5,34,doy_cos
smlt_mm,10,6,5,34,doy_sin
smlt_mm,11,6,5,31,doy_cos
smlt_mm,12,6,5,31,doy_cos
smlt_mm,13,6,5,30,doy_cos
smlt_mm,14,6,6,32,doy_cos
smlt_mm,15,6,6,31,doy_sin
smlt_mm,16,6,6,32,doy_cos
smlt_mm,17,6,5,33,doy_cos
smlt_mm,18,6,5,34,doy_cos
smlt_mm,19,6,6,34,doy_cos
smlt_mm,20,6,6,34,doy_cos
smlt_mm,21,6,5,34,doy_cos
smlt_mm,22,6,5,34,doy_cos
smlt_mm,23,6,5,34,doy_cos
smlt_mm,24,6,5,34,doy_cos
smlt_mm,25,6,3,34,doy_cos
smlt_mm,26,6,6,34,doy_sin
smlt_mm,27,6,6,34,doy_sin
smlt_mm,28,6,6,34,doy_sin
smlt_mm,29,6,6,34,doy_cos
smlt_mm,30,6,6,34,doy_sin
smlt_mm,31,6,6,34,doy_sin
smlt_mm,32,6,6,34,doy_sin
smlt_mm,33,6,6,34,doy_sin
smlt_mm,34,6,5,34,doy_sin
smlt_mm,35,6,5,34,doy_sin
smlt_mm,36,6,5,34,doy_cos
smlt_mm,37,6,5,34,doy_cos
smlt_mm,38,6,5,34,doy_cos
smlt_mm,39,6,6,34,doy_sin
smlt_mm,40,6,6,34,doy_sin
smlt_mm,41,6,6,34,doy_sin
smlt_mm,42,6,6,34,doy_sin
smlt_mm,43,6,6,34,doy_sin
smlt_mm,44,6,6,34,doy_sin
smlt_mm,45,6,6,34,doy_sin
smlt_mm,46,6,6,34,doy_sin
smlt_mm,47,6,6,34,doy_sin
smlt_mm,48,6,5,34,doy_sin
smlt_mm,49,6,5,34,doy_cos
smlt_mm,50,6,5,34,doy_cos
smlt_mm,51,6,6,34,doy_sin
smlt_mm,52,6,6,34,doy_sin
smlt_mm,53,6,6,34,doy_sin
smlt_mm,54,6,5,34,doy_sin
smlt_mm,55,6,5,34,doy_sin
smlt_mm,56,6,5,34,doy_sin
smlt_mm,57,6,5,34,doy_sin
smlt_mm,58,6,5,34,doy_sin
smlt_mm,59,6,5,34,doy_sin
smlt_mm,60,6,5,34,doy_cos
smlt_mm,61,6,5,34,doy_cos
smlt_mm,62,6,5,34,doy_cos
smlt_mm,63,6,6,34,doy_sin
smlt_mm,64,6,6,34,doy_sin
smlt_mm,65,6,6,34,doy_sin
smlt_mm,66,6,5,34,doy_sin
smlt_mm,67,6,5,34,doy_sin
smlt_mm,68,6,5,34,doy_sin
smlt_mm,69,6,5,34,doy_sin
smlt_mm,70,6,5,34,doy_sin
smlt_mm,71,6,4,34,doy_cos
smlt_mm,72,6,4,34,doy_cos
smlt_mm,73,6,5,34,doy_cos
smlt_mm,74,6,3,34,doy_cos
smlt_mm,75,6,5,33,doy_sin
smlt_mm,76,6,3,34,doy_sin
smlt_mm,77,6,3,33,doy_cos
smlt_mm,78,6,3,34,doy_sin
smlt_mm,79,6,4,33,doy_sin
smlt_mm,80,6,3,32,doy_cos
smlt_mm,81,6,3,31,doy_cos
