model,R2,boot_lo95,boot_hi95,n_years
Time trend only,0.23191405946655708,-0.14660942767193447,0.39713345020328333,24
CryoSENSE forecast + CPDD,0.01825733446997979,-0.5220386915508568,0.2658555615997817,24
Trend + CryoSENSE forecast + CPDD,0.2523855994523583,-0.25029344601787923,0.4596352241631781,24
