scenario,period,temperature_change_C_median,temperature_change_C_min,temperature_change_C_max,temperature_change_C_count,snow_cover_change_pp_median,snow_cover_change_pp_min,snow_cover_change_pp_max,snow_cover_change_pp_count,snow_water_equivalent_change_pct_median,snow_water_equivalent_change_pct_min,snow_water_equivalent_change_pct_max,snow_water_equivalent_change_pct_count,snowmelt_change_pct_median,snowmelt_change_pct_min,snowmelt_change_pct_max,snowmelt_change_pct_count
SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10
SSP2-4.5,Late-century (2080-2099),1.7817722194539085,1.5253996984804692,3.009818597876027,10,-4.254384994506836,-7.715293884277344,-2.8455581665039062,10,-9.931487908085078,-22.615967785639455,-6.108573698815545,10,2.0067427928818327,-14.767922086031838,8.398544313664535,10
SSP2-4.5,Mid-century (2041-2060),0.8526927856793884,0.4023553434292637,1.5346013381717363,10,-1.218240737915039,-5.169029235839844,-0.23422622680664062,10,-4.586878147533874,-12.838187753848207,1.1881191500372923,10,-1.0175004454474945,-10.615701679732926,11.180214517254683,10
SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10
SSP5-8.5,Late-century (2080-2099),4.250010139104983,3.645671732564919,6.979567764188879,10,-8.99119758605957,-20.198230743408203,-7.443401336669922,10,-23.677238747394888,-37.96206897974509,-7.46312504380624,10,5.692601856346435,-6.6841405085521615,19.337835082114154,10
SSP5-8.5,Mid-century (2041-2060),1.4424753579991805,0.8867403977327095,2.601620653634747,10,-3.4819774627685547,-6.857086181640625,-1.6478118896484375,10,-10.119673239913212,-18.90030829649828,-3.00831792351387,10,1.424641154192141,-10.969713627346744,13.607981305767613,10
