horizon_days,target,target_col,method,n_features,RMSE,MAE,R2,NSE,KGE,RMSE_ci_low,RMSE_ci_high,R2_ci_low,R2_ci_high
1,snowc,snowc_h1,CryoSENSE-HK (Random Forest),4,4.439030601986828,0.733805219002584,0.9917444166982415,0.9917444166982415,0.9946096560088065,3.638503841216229,5.156257146541413,0.9888437633458456,0.9944545239859295
1,snowc,snowc_h1,Persistence (issue-day t),1,5.308060151058535,0.8926525784481633,0.9881956206618884,0.9881956206618884,0.9940978103309446,4.377117726310009,6.213933857737798,0.9838475718357773,0.9919893223705294
1,snowc,snowc_h1,Training target-DOY climatology,1,18.158031047967448,7.460911345652855,0.8618633261161475,0.8618633261161475,0.8711860352966729,17.14084237766874,19.067267267005334,0.8466981064319818,0.8772805047893464
1,sd,sd_h1,CryoSENSE-HK (Random Forest),6,0.005044202429048767,0.002329567808940125,0.9993888637424435,0.9993888637424435,0.9983699611902291,0.00475023744538002,0.005340589800074469,0.9993073983752911,0.999460649328553
1,sd,sd_h1,Persistence (issue-day t),1,0.007690324479777995,0.0032774420758787857,0.9985794963125099,0.9985794963125099,0.9992730319135313,0.007337718915052158,0.008040819985140323,0.9984311026597571,0.9987170336947869
1,sd,sd_h1,Training target-DOY climatology,1,0.12009409579275354,0.06595136754741661,0.6535852706023058,0.6535852706023058,0.6941536185948982,0.11545582981287614,0.12470653238609102,0.6238018420197258,0.6812218184207318
1,smlt_mm,smlt_mm_h1,CryoSENSE-HK (Extra Trees),12,1.1050713828579852,0.3695051404251263,0.952325846981566,0.952325846981566,0.9459621857188474,1.0214741009444541,1.1863548079345967,0.9443429314194141,0.9599677136821791
1,smlt_mm,smlt_mm_h1,Persistence (issue-day t),1,1.4023706328892414,0.4468263210237682,0.9232235657262271,0.9232235657262271,0.9616117828631132,1.2997169317881825,1.4980009322800023,0.9116928890036103,0.9347672224703039
1,smlt_mm,smlt_mm_h1,Training target-DOY climatology,1,3.8760381128147854,1.576429213316374,0.41348597896163497,0.41348597896163497,0.610036851327026,3.68591397251562,4.091386647888374,0.3510358936823026,0.4676939906979765
7,snowc,snowc_h7,CryoSENSE-HK (Extra Trees),6,10.287511429116961,3.296991865327881,0.9556603615640074,0.9556603615640074,0.9597651084095877,9.521599225528362,10.997537568513598,0.949198097012461,0.9620039463165033
7,snowc,snowc_h7,Persistence (issue-day t),1,17.049553799560755,4.469070244303793,0.8782139566124677,0.8782139566124677,0.9391069783062339,15.710842720096473,18.40850337457391,0.858108157212252,0.8964929750073329
7,snowc,snowc_h7,Training target-DOY climatology,1,18.158030254728526,7.460934299328838,0.8618633381852295,0.8618633381852295,0.8711861258682168,17.247038517851976,19.057749140997878,0.8478888855407104,0.8755050160748146
7,sd,sd_h7,CryoSENSE-HK (Extra Trees),10,0.02379011651596806,0.013265856998217708,0.9864060341486355,0.9864060341486355,0.9780188671329108,0.022814388778954964,0.024620372928555446,0.9852738407290462,0.9874577987642733
7,sd,sd_h7,Persistence (issue-day t),1,0.04346077768133106,0.02160637453174842,0.9546321683194282,0.9546321683194282,0.9773078219763212,0.041771957439337024,0.04515006545481811,0.9503246749239252,0.9585470903063043
7,sd,sd_h7,Training target-DOY climatology,1,0.12008767406205957,0.06594501278766234,0.6536223169301699,0.6536223169301699,0.6943000245654739,0.11554535505929825,0.12440628791167593,0.6225203185660585,0.6796880868032152
7,smlt_mm,smlt_mm_h7,CryoSENSE-HK (XGBoost),8,2.03485601683592,0.759250794036396,0.8383522401467745,0.8383522401467745,0.7783234284440412,1.9053032944782227,2.1407601203768665,0.8194854357722078,0.8553370547783171
7,smlt_mm,smlt_mm_h7,Persistence (issue-day t),1,3.5524783483752302,1.1804378504978266,0.5073196962949029,0.5073196962949029,0.7536598481474514,3.304455232808114,3.8121467686195207,0.42644909123655517,0.5769468806092878
7,smlt_mm,smlt_mm_h7,Training target-DOY climatology,1,3.876038059339964,1.5764306591969912,0.4134859951450325,0.4134859951450325,0.6100363506942341,3.6638585307297977,4.071452816245258,0.34258518828752965,0.4763804786011331
15,snowc,snowc_h15,CryoSENSE-HK (Extra Trees),8,12.314860038455782,4.4444134561490225,0.9364624526110268,0.9364624526110268,0.9414480467195321,11.55265426543237,13.091114731735301,0.9283064904333072,0.9442291684032421
15,snowc,snowc_h15,Persistence (issue-day t),1,26.210344820567627,8.585954183025713,0.7121826600927372,0.7121826600927372,0.8560913300463691,24.9108999071395,27.562348505480983,0.6807720973027147,0.7405547447743229
15,snowc,snowc_h15,Training target-DOY climatology,1,18.158029864974914,7.460956221704907,0.861863344115307,0.861863344115307,0.8711861923390163,17.246098840773495,19.127637131816144,0.8462320811540625,0.8759494459663026
15,sd,sd_h15,CryoSENSE-HK (Extra Trees),12,0.038346973389292965,0.021577921880039295,0.9646804452033377,0.9646804452033377,0.9506633972624063,0.036889739086893296,0.03978176893663574,0.9613683299435449,0.9672251990251535
15,sd,sd_h15,Persistence (issue-day t),1,0.08492663627548393,0.0445500946438334,0.82676290886902,0.82676290886902,0.913376035312202,0.08134895321001526,0.08862899079949214,0.8101463385644809,0.8437386863128192
15,sd,sd_h15,Training target-DOY climatology,1,0.12007909942374215,0.06593001436678768,0.6536717800801695,0.6536717800801695,0.6945447887976786,0.11516389756867192,0.12520077742267108,0.6238286601510867,0.6860727150166104
15,smlt_mm,smlt_mm_h15,CryoSENSE-HK (Extra Trees),10,2.2412274990620933,0.7942005224083204,0.8039015296261889,0.8039015296261889,0.7301009481751017,2.1009561099531875,2.388054191248146,0.7769833568995702,0.8245046063473797
15,smlt_mm,smlt_mm_h15,Persistence (issue-day t),1,4.905150172943242,1.7738127399867318,0.060694344669416034,0.060694344669416034,0.5303471723347079,4.609751193197647,5.1766308791528575,-0.08278973792237782,0.17897892410133498
15,smlt_mm,smlt_mm_h15,Training target-DOY climatology,1,3.876038061575095,1.5764321035861326,0.41348599446860157,0.41348599446860157,0.6100359431791764,3.668861071571932,4.058592877538898,0.3581051562924058,0.47009714889998433
30,snowc,snowc_h30,CryoSENSE-HK (Extra Trees),12,12.89326185656757,5.074330315924693,0.9303538534863169,0.9303538534863169,0.9260226131678461,12.213885514882048,13.651434779051758,0.9218065339690459,0.9376531991329177
30,snowc,snowc_h30,Persistence (issue-day t),1,38.240479912886904,16.487155498157342,0.38734193642274983,0.38734193642274983,0.6937661543010969,36.696003171341914,39.67774125931486,0.34172533766582,0.4365409232603436
