horizon_days,target,cell,selected_algorithm,n_train_local,n_test_local,RMSE_local,MAE_local,R2_local,NSE_local,KGE_local,R2_reference_learner,algorithm,n_train_cells,n_train_transfer,n_test_transfer,RMSE_transfer,MAE_transfer,R2_transfer,NSE_transfer,KGE_transfer,R2_transfer_loss,R2_learner_gap
1,snowc,0,Random Forest,19350,4018,4.702583384439119,1.4068779992874574,0.970132504952019,0.9701325036654228,0.9759461124347786,0.9701697826385498,XGBoost,81,1567350,4018,4.892859000483091,1.6774543523788452,0.9676666259765624,0.9676666,0.9565839456947426,0.0025031566619874157,-3.727768653083441e-05
1,snowc,1,Random Forest,19350,4018,5.225900476965486,1.3395481898609871,0.9814490830895974,0.9814490817456786,0.9883947084865372,0.9805364608764648,XGBoost,81,1567350,4018,5.380265251909817,1.4387879371643066,0.9803369641304016,0.98033696,0.9892236038440164,0.00019949674606323242,0.0009126222131325967
1,snowc,2,Random Forest,19350,4018,5.496296412231463,1.5855564151295942,0.9783098940098804,0.978309895045343,0.9861599449634296,0.9777666926383972,XGBoost,81,1567350,4018,5.5116600936482865,1.6323450803756714,0.978188455104828,0.97818846,0.9867209058371098,-0.0004217624664307751,0.0005432013714832262
1,snowc,3,Random Forest,19350,4018,5.467722254975806,1.6158705995157514,0.9792519595311908,0.9792519599900568,0.987461121463258,0.9780191779136658,XGBoost,81,1567350,4018,5.567153869750023,1.7303484678268433,0.9784904718399048,0.9784905,0.985846528336797,-0.00047129392623901367,0.0012327816175250472
1,snowc,4,Random Forest,19350,4018,5.1375219913400585,1.5128630014071431,0.9839507882655216,0.983950789951696,0.9894001924118946,0.9831177592277528,XGBoost,81,1567350,4018,5.381729349192866,1.6004718542099,0.9823887348175048,0.98238873,0.9894326133083294,0.0007290244102480248,0.0008330290377688288
1,snowc,5,Random Forest,19350,4018,4.93900003608357,1.061628253681098,0.9862336500679236,0.9862336513805224,0.9905223011569916,0.9850025177001952,XGBoost,81,1567350,4018,5.074279080003651,1.0901118516921997,0.9854692220687866,0.9854692,0.9891523258490488,-0.0004667043685914196,0.001231132367728427
1,snowc,6,Random Forest,19350,4018,4.708055575298178,1.0177428020318833,0.9886570836061024,0.9886570845518838,0.9923823601401556,0.988277792930603,XGBoost,81,1567350,4018,4.862570542949094,1.079422116279602,0.9879003167152404,0.9879003,0.9893632636513822,0.00037747621536265985,0.00037929067549935525
1,snowc,7,Random Forest,19350,4018,4.842586386741742,1.0910033115669853,0.9881108493319392,0.988110849871779,0.9923607366563426,0.9873140454292296,XGBoost,81,1567350,4018,4.876865910188328,1.1636062860488892,0.9879419207572936,0.9879419,0.9902185533019368,-0.0006278753280639648,0.0007968039027095308
1,snowc,8,Random Forest,19350,4018,5.013557033835663,1.189511949754575,0.9876276818614768,0.9876276813182993,0.9923236541492736,0.9867285490036012,XGBoost,81,1567350,4018,5.158310172296559,1.2273163795471191,0.986902952194214,0.98690295,0.9913537534288,-0.00017440319061279297,0.0008991328578755731
1,snowc,9,Random Forest,19350,4018,5.316158068546658,1.1724312691720662,0.9868672263509182,0.9868672276106418,0.9914601879122288,0.9866644740104676,XGBoost,81,1567350,4018,5.1583038863336315,1.2237141132354736,0.9876355528831482,0.98763555,0.9904675241596176,-0.000971078872680553,0.00020275234045052937
1,snowc,10,Random Forest,19350,4018,4.852869473286473,1.037971955404914,0.989541272130589,0.9895412724609411,0.9936118085278056,0.9896142482757568,XGBoost,81,1567350,4018,4.690541209083068,0.994767963886261,0.9902292490005492,0.99022925,0.9923308961436142,-0.0006150007247923694,-7.297614516788009e-05
1,snowc,11,Random Forest,19350,4018,4.835474443250595,1.0810214747156486,0.9883097811897188,0.988309780087461,0.9929143875518576,0.987568974494934,XGBoost,81,1567350,4018,4.663193409265457,1.1164287328720093,0.9891279339790344,0.98912793,0.992156862939294,-0.0015589594841004528,0.0007408066947848235
1,snowc,12,Random Forest,19350,4018,4.927117003967817,1.1158307499998834,0.9878941399477073,0.987894140231098,0.9923986981550852,0.9879856705665588,XGBoost,81,1567350,4018,4.66054076073744,1.1107215881347656,0.989168643951416,0.98916864,0.9919110528281676,-0.0011829733848571777,-9.153061885158742e-05
1,snowc,13,Random Forest,19350,4018,4.8864652620804545,1.0920503673057955,0.9881925046822252,0.988192502544236,0.992412102313548,0.9880234599113464,XGBoost,81,1567350,4018,4.594860124420359,1.0587419271469116,0.9895597100257874,0.9895597,0.9926145431859172,-0.001536250114440918,0.0001690447708787568
1,snowc,14,Random Forest,19350,4018,4.7546455362802345,1.0249569685281683,0.9889813298529824,0.9889813292201832,0.9935309869871446,0.9885326027870178,XGBoost,81,1567350,4018,4.620660963131363,1.0722614526748655,0.9895935654640198,0.98959357,0.9929804093983488,-0.0010609626770019531,0.00044872706596454925
1,snowc,15,Random Forest,19350,4018,4.802774866563349,1.0348175574939718,0.9891371795683732,0.9891371788818178,0.9932926863183184,0.988767147064209,XGBoost,81,1567350,4018,4.605031388265889,1.0736867189407349,0.9900132417678832,0.99001324,0.9932996332515552,-0.0012460947036742054,0.0003700325041642305
