warming_C,months_outside_envelope,snowc_level,sd_level,smlt_mm_level,snowc_change_pct,sd_change_pct,smlt_mm_change_pct
0,0.0,47.253726959228516,0.14614731073379517,54.69071578979492,0.0,0.0,0.0
1,0.016666666666666666,44.93045425415039,0.14066001772880554,50.98961639404297,-4.9165914618389595,-3.7546315272161457,-6.767326670174178
2,0.07083333333333333,42.981197357177734,0.1343138962984085,51.29920196533203,-9.041677507759772,-8.096908780580314,-6.201260626206206
3,0.13333333333333333,41.02159881591797,0.12909506261348724,52.82748031616211,-13.188648905276313,-11.667849401189667,-3.4068588182210036
4,0.15416666666666667,38.65360641479492,0.12333760410547256,52.37000274658203,-18.19987776171381,-15.607339275554711,-4.243340043550736
5,0.17083333333333334,36.0400505065918,0.11645640432834625,51.193138122558594,-23.730776753994686,-20.31573913770497,-6.395194534807979
6,0.20416666666666666,33.74507522583008,0.11169688403606415,52.58089065551758,-28.58748421061894,-23.57239864678857,-3.8577391131366934
