horizon_days,target,target_col,method,configuration,n_evaluated,RMSE,MAE,R2,NSE,KGE
15,snowc,snowc_h15,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,19.86845952896485,13.100863756658145,0.8346135679629012,0.8346135679629012,0.8735588111094434
15,sd,sd_h15,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,0.05831960711100858,0.0408570894290315,0.9183074945826272,0.9183074945826272,0.94304892435637
15,sd,sd_h15,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,0.05162581079871215,0.03383441992167365,0.9359842545147121,0.9359842545147121,0.9458057748654255
15,sd,sd_h15,Exponential smoothing,alpha=0.95,4018,0.08517485858845386,0.04469466994367344,0.8257487593597728,0.8257487593597728,0.9128656175111436
15,sd,sd_h15,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,0.05879826289286136,0.041260916622210854,0.9169610158099274,0.9169610158099274,0.9521990785223322
15,smlt_mm,smlt_mm_h15,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,4.2141903262868645,2.4144344997834977,0.30668497372410464,0.30668497372410464,0.35660226073246026
15,smlt_mm,smlt_mm_h15,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,3.726493472926517,2.36037485654959,0.45787048649601336,0.45787048649601336,0.5584027418668107
15,smlt_mm,smlt_mm_h15,Exponential smoothing,alpha=0.85,4018,4.9049924337798565,1.782433683837155,0.06075475582938883,0.06075475582938883,0.5275886288597533
15,smlt_mm,smlt_mm_h15,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,3.696766682421545,2.3334083488052206,0.4664852830315861,0.4664852830315861,0.5218238914795374
15,smlt_mm,smlt_mm_h15,"Degree-day, climatological target-date T","Tb=-9.0 C, DDF=0.44 mm/C/day, issue-day snow gate",4018,4.418820207111251,2.087805570309373,0.23771919518107265,0.23771919518107265,0.2597272173288535
15,smlt_mm,smlt_mm_h15,"Degree-day, observed target-date T (oracle)","Tb=-5.0 C, DDF=0.88 mm/C/day, target-day snow gate",4018,3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614
30,snowc,snowc_h30,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,34.13119810846532,25.28592485976711,0.5119384968370684,0.5119384968370684,0.5942558599754388
30,snowc,snowc_h30,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,21.02368401996018,14.999677271367247,0.8148221117382826,0.8148221117382826,0.822104773652682
30,snowc,snowc_h30,Exponential smoothing,alpha=0.95,4018,38.25848050120127,16.51440736014624,0.38676501891503057,0.38676501891503057,0.693384840643811
30,snowc,snowc_h30,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,22.286010224753753,16.575192947164176,0.7919172222054722,0.7919172222054722,0.8392843484110406
30,sd,sd_h30,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,0.1134026936437997,0.08356467164139507,0.6911128957039012,0.6911128957039012,0.781259532076751
30,sd,sd_h30,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,0.08879911805508311,0.06038321087478258,0.8106042011435082,0.8106042011435082,0.8662669932802886
30,sd,sd_h30,Exponential smoothing,alpha=0.95,4018,0.15158024625251426,0.08585880702710466,0.44812813604607926,0.44812813604607926,0.7240288350746414
30,sd,sd_h30,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,0.09848406166237704,0.06976139971408915,0.7670380787713074,0.7670380787713074,0.8763886253379682
30,smlt_mm,smlt_mm_h30,Lagged linear regression,"lags [0, 1, 2, 3, 5, 7, 14, 30]",4018,4.980261007941265,3.0553576415370753,0.03170758635263826,0.03170758635263826,-0.10598548638133543
30,smlt_mm,smlt_mm_h30,Seasonal AR with annual harmonics,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics",4018,3.9503321835804557,2.6086147078947683,0.3907864487848808,0.3907864487848808,0.4977364106541402
30,smlt_mm,smlt_mm_h30,Exponential smoothing,alpha=0.05,4018,6.301018509918776,3.1758943224196243,-0.549971925586501,-0.549971925586501,-0.07942717309837466
30,smlt_mm,smlt_mm_h30,"SARIMAX(3, 0, 1) with Fourier seasonality","2 Fourier pairs, iterated",4018,3.922484480264017,2.5480732145179457,0.3993454254548897,0.3993454254548897,0.46238193281212314
30,smlt_mm,smlt_mm_h30,"Degree-day, climatological target-date T","Tb=-13.5 C, DDF=0.25 mm/C/day, issue-day snow gate",4018,4.674327323877379,2.429776078203597,0.14701663207228743,0.14701663207228743,0.1378220287929851
30,smlt_mm,smlt_mm_h30,"Degree-day, observed target-date T (oracle)","Tb=-5.0 C, DDF=0.88 mm/C/day, target-day snow gate",4018,3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614
