horizon_days,target,target_col,feature_group,rank,feature,MI_training,selected
1,snowc,snowc_h1,C_full_reanalysis_state,12,sd_lag7,0.6913679982367373,False
1,snowc,snowc_h1,C_full_reanalysis_state,13,snowc_lag7,0.6889997649157227,False
1,snowc,snowc_h1,C_full_reanalysis_state,14,t2m_C_lag7,0.6640561445476187,False
1,snowc,snowc_h1,C_full_reanalysis_state,15,t2m_C_lag3,0.6457254325684207,False
1,snowc,snowc_h1,C_full_reanalysis_state,16,t2m_C_lag1,0.6288953779642981,False
1,snowc,snowc_h1,C_full_reanalysis_state,17,t2m_C,0.6242315547333224,False
1,snowc,snowc_h1,C_full_reanalysis_state,18,tsn_C,0.5622926183170236,False
1,snowc,snowc_h1,C_full_reanalysis_state,19,e_mm,0.5294955727713013,False
1,snowc,snowc_h1,C_full_reanalysis_state,20,ssro_mm,0.5280809852514263,False
1,snowc,snowc_h1,C_full_reanalysis_state,21,slhf_W,0.5130790013262985,False
1,snowc,snowc_h1,C_full_reanalysis_state,22,net_radiation_W,0.49617289788727703,False
1,snowc,snowc_h1,C_full_reanalysis_state,23,ro_mm,0.46838101232046014,False
1,snowc,snowc_h1,C_full_reanalysis_state,24,sro_mm,0.4650594769191052,False
1,snowc,snowc_h1,C_full_reanalysis_state,25,smlt_mm_lag1,0.34604514937661524,False
1,snowc,snowc_h1,C_full_reanalysis_state,26,sf_mm,0.3443461558358418,False
1,snowc,snowc_h1,C_full_reanalysis_state,27,sf_mm_lag1,0.34159541881145916,False
1,snowc,snowc_h1,C_full_reanalysis_state,28,sf_mm_lag3,0.335883138796941,False
1,snowc,snowc_h1,C_full_reanalysis_state,29,sf_mm_lag7,0.3250485319871208,False
1,snowc,snowc_h1,C_full_reanalysis_state,30,d2m_C,0.24487515286492822,False
1,snowc,snowc_h1,C_full_reanalysis_state,31,smlt_mm_lag3,0.2276455317307331,False
1,snowc,snowc_h1,C_full_reanalysis_state,32,ssrd_W,0.20342594174293183,False
1,snowc,snowc_h1,C_full_reanalysis_state,33,sp_hPa,0.19926989270928885,False
1,snowc,snowc_h1,C_full_reanalysis_state,34,strd_W,0.18136216606399636,False
1,snowc,snowc_h1,C_full_reanalysis_state,35,ws,0.16172490628313163,False
1,snowc,snowc_h1,C_full_reanalysis_state,36,smlt_mm_lag7,0.1520663162194129,False
1,snowc,snowc_h1,C_full_reanalysis_state,37,tp_mm_lag1,0.11206861655325984,False
1,snowc,snowc_h1,C_full_reanalysis_state,38,tp_mm,0.11122022015155686,False
1,snowc,snowc_h1,C_full_reanalysis_state,39,tp_mm_lag3,0.1013621358772081,False
1,snowc,snowc_h1,C_full_reanalysis_state,40,tp_mm_lag7,0.09472371486628361,False
1,sd,sd_h1,A_atmosphere_energy,1,doy_sin,0.8039791303940556,True
1,sd,sd_h1,A_atmosphere_energy,2,sshf_W,0.7884702970312354,True
1,sd,sd_h1,A_atmosphere_energy,3,doy_cos,0.7621697635398847,True
1,sd,sd_h1,A_atmosphere_energy,4,t2m_C,0.6425911704687444,True
1,sd,sd_h1,A_atmosphere_energy,5,e_mm,0.5858261422030688,True
1,sd,sd_h1,A_atmosphere_energy,6,slhf_W,0.569137673528255,True
1,sd,sd_h1,A_atmosphere_energy,7,net_radiation_W,0.5229106230349378,True
1,sd,sd_h1,A_atmosphere_energy,8,ssrd_W,0.2710465791262493,True
1,sd,sd_h1,A_atmosphere_energy,9,d2m_C,0.26402608047019527,True
1,sd,sd_h1,A_atmosphere_energy,10,sp_hPa,0.20277367920836653,True
1,sd,sd_h1,A_atmosphere_energy,11,strd_W,0.18393535730004995,True
1,sd,sd_h1,A_atmosphere_energy,12,ws,0.1556118103762616,True
1,sd,sd_h1,A_atmosphere_energy,13,tp_mm,0.124537435426606,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,1,sd_lag0,3.0118730675428638,True
1,sd,sd_h1,B_atmosphere_snowfall_memory,2,sd_lag1,2.5191107603627927,True
1,sd,sd_h1,B_atmosphere_snowfall_memory,3,sd_lag3,1.9971839001894311,True
1,sd,sd_h1,B_atmosphere_snowfall_memory,4,sd_lag7,1.6484466183489923,True
1,sd,sd_h1,B_atmosphere_snowfall_memory,5,snowc_lag0,1.1016029748224399,True
1,sd,sd_h1,B_atmosphere_snowfall_memory,6,snowc_lag1,0.9945159306450333,True
1,sd,sd_h1,B_atmosphere_snowfall_memory,7,snowc_lag3,0.8365121841118182,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,8,doy_sin,0.801054980835616,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,9,sshf_W,0.7884604192144424,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,10,doy_cos,0.7631660510267464,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,11,snowc_lag7,0.7545522527465405,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,12,t2m_C_lag7,0.6494817844403782,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,13,t2m_C_lag3,0.644235982332658,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,14,t2m_C,0.6426120075436463,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,15,t2m_C_lag1,0.6372100004634138,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,16,e_mm,0.5860298984382428,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,17,slhf_W,0.56892888123779,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,18,net_radiation_W,0.5223178884951158,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,19,smlt_mm_lag1,0.3090360636555598,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,20,sf_mm,0.29133695436158025,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,21,sf_mm_lag1,0.27799836238281284,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,22,sf_mm_lag3,0.27267168088621396,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,23,sf_mm_lag7,0.2722837896798165,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,24,ssrd_W,0.2714189884969649,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,25,d2m_C,0.26453998051359573,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,26,smlt_mm_lag3,0.23488450612226774,False
