model,scenario,period,temperature_change_C,snow_cover_change_pp,snow_water_equivalent_change_pct,snowmelt_change_pct,cmip6_own_swe_change_pct
bcc_csm2_mr,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
bcc_csm2_mr,SSP2-4.5,Mid-century (2041-2060),0.4023553434292637,-0.29541015625,-5.187325567987555,-0.2706610267481646,-23.604034030737566
bcc_csm2_mr,SSP2-4.5,Late-century (2080-2099),1.6109783048590884,-3.266876220703125,-8.20138597798542,1.3246466984185856,-83.2122782100013
bcc_csm2_mr,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
bcc_csm2_mr,SSP5-8.5,Mid-century (2041-2060),1.1780510309139496,-3.1392250061035156,-12.31584983595888,-1.6779375993895118,-56.75713733843972
bcc_csm2_mr,SSP5-8.5,Late-century (2080-2099),3.8475356243123455,-7.698307037353516,-19.167149168739773,-4.114693969454408,-89.42088890541973
canesm5_canoe,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
canesm5_canoe,SSP2-4.5,Mid-century (2041-2060),1.5346013381717363,-3.4594955444335938,-12.838187753848207,11.180214517254683,-58.311504850221176
canesm5_canoe,SSP2-4.5,Late-century (2080-2099),2.8558873412968904,-7.385456085205078,-22.615967785639455,8.20312113467021,-76.82433241901629
canesm5_canoe,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
canesm5_canoe,SSP5-8.5,Mid-century (2041-2060),2.601620653634747,-6.857086181640625,-18.90030829649828,1.8934770071833196,-68.07646708988315
canesm5_canoe,SSP5-8.5,Late-century (2080-2099),6.979567764188879,-20.198230743408203,-37.96206897974509,3.5279400784100856,-95.55470085680182
ec_earth3_cc,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
ec_earth3_cc,SSP2-4.5,Mid-century (2041-2060),0.4989570527747942,-0.359283447265625,-0.18269368528116559,-1.8650423981378839,-7.115226118169238
ec_earth3_cc,SSP2-4.5,Late-century (2080-2099),1.604824916016332,-3.533924102783203,-6.108573698815545,-1.3488439193774737,-20.32380825841734
ec_earth3_cc,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
ec_earth3_cc,SSP5-8.5,Mid-century (2041-2060),1.0371459587603882,-1.6478118896484375,-6.442264904820128,0.7314822819159073,-13.86723033584456
ec_earth3_cc,SSP5-8.5,Late-century (2080-2099),4.853791046905373,-9.146766662597656,-28.539785514500192,7.857263634282785,-66.23073790132294
