latitude,longitude,cell_area_km2,overlap_km2,overlap_fraction,has_glacier,elevation_m,land_fraction,cell
36.99999999999992,44.300000000000274,98.78304190971458,58.87600718732518,0.5960133039954012,False,994.9526424653122,1.0,0
37.09999999999992,44.20000000000027,98.65519459835008,61.20258192472273,0.6203685692770028,False,1399.55371601337,1.0,1
37.09999999999992,44.300000000000274,98.65519459834056,98.65519459834056,1.0,False,1258.9164314610957,1.0,2
37.09999999999992,44.400000000000276,98.65519459835008,90.32011019937512,0.9155129698653055,False,1304.1907794378658,1.0,3
37.09999999999992,44.50000000000028,98.65519459835008,37.635184820900136,0.3814820392795571,False,1636.5782436564598,1.0,4
37.199999999999925,43.80000000000027,98.52704316745316,35.042619842403695,0.35566499019813747,False,1501.9843675445238,1.0,5
37.199999999999925,44.300000000000274,98.52704316744365,98.52704316744365,1.0,False,1636.1685210503351,1.0,6
37.199999999999925,44.400000000000276,98.52704316745316,98.52704316745316,1.0,False,1574.607699480112,1.0,7
37.199999999999925,44.50000000000028,98.52704316745316,98.52704316745316,1.0,False,1743.2085519003913,1.0,8
37.199999999999925,44.60000000000028,98.52704316744365,78.13155708864028,0.7929960605420597,False,2108.0665326543613,1.0,9
37.199999999999925,44.70000000000028,98.52704316745316,78.16546751272085,0.7933402343138779,False,2368.9574021042104,1.0,10
37.299999999999926,43.40000000000026,98.39858795788498,52.31427476245177,0.531656763050731,False,1731.4290269743085,1.0,11
37.299999999999926,43.50000000000026,98.39858795789449,97.07105542961703,0.9865086221679774,False,1572.5590864494889,1.0,12
37.299999999999926,43.600000000000264,98.39858795788973,98.39858795788973,1.0,False,1596.015705650123,1.0,13
37.299999999999926,43.700000000000266,98.39858795788024,98.39858795788024,1.0,False,1949.1965921295416,1.0,14
37.299999999999926,43.80000000000027,98.39858795788973,98.39858795788973,1.0,False,2095.0578399099045,1.0,15
37.299999999999926,43.90000000000027,98.39858795788973,93.75224227588691,0.9527803622142297,False,1695.8855908929982,1.0,16
37.299999999999926,44.00000000000027,98.39858795788024,40.44948224786967,0.41107787304004983,False,1451.9982095973205,1.0,17
37.299999999999926,44.10000000000027,98.39858795788973,43.5082812540121,0.44216367487541314,False,1636.1685210503351,1.0,18
37.299999999999926,44.20000000000027,98.39858795788973,79.62257053867643,0.8091840766328008,False,2029.1949309753727,1.0,19
37.299999999999926,44.300000000000274,98.39858795788024,98.39858795788024,1.0,False,2175.3634707103292,1.0,20
37.299999999999926,44.400000000000276,98.39858795788973,98.39858795788973,1.0,False,1887.6357705593182,1.0,21
37.299999999999926,44.50000000000028,98.39858795788973,98.39858795788973,1.0,False,1770.7623971622718,1.0,22
37.299999999999926,44.60000000000028,98.39858795788024,98.39858795788024,1.0,False,1966.8146641929,1.0,23
37.299999999999926,44.70000000000028,98.39858795788973,94.30654232353876,0.9584135736165017,False,2137.873852249927,1.0,24
37.299999999999926,44.80000000000028,98.39858795788973,30.83815386618163,0.31340036992582665,False,2093.0092268792814,1.0,25
37.39999999999993,43.40000000000026,98.26982931176052,47.53647298317926,0.483734156415089,False,2118.7193204136015,1.0,26
37.39999999999993,43.50000000000026,98.26982931177001,98.26982931177001,1.0,False,1815.217299926792,1.0,27
37.39999999999993,43.600000000000264,98.26982931176526,98.26982931176526,1.0,False,1772.1964262837078,1.0,28
37.39999999999993,43.700000000000266,98.26982931175577,98.26982931175577,1.0,False,2147.297472190793,1.0,29
37.39999999999993,43.80000000000027,98.26982931176526,98.26982931176526,1.0,False,2439.9418436153,1.0,30
37.39999999999993,43.90000000000027,98.26982931176526,98.26982931176526,1.0,False,2336.0771629627097,1.0,31
37.39999999999993,44.00000000000027,98.26982931175577,98.26982931175577,1.0,False,2034.3164635519304,1.0,32
37.39999999999993,44.10000000000027,98.26982931176526,98.26982931176526,1.0,False,2099.9745111834,1.0,33
37.39999999999993,44.20000000000027,98.26982931176526,98.26982931176526,1.0,False,2354.104957632193,1.0,34
37.39999999999993,44.300000000000274,98.26982931175577,98.26982931175577,1.0,False,2305.552828806426,1.0,35
37.39999999999993,44.400000000000276,98.26982931176526,98.26982931176526,1.0,False,2105.6081970176137,1.0,36
37.39999999999993,44.50000000000028,98.26982931176526,98.26982931176526,1.0,False,2063.61162988984,1.0,37
37.39999999999993,44.60000000000028,98.26982931175577,74.22539068769673,0.7553222714188366,False,2242.0458248571103,1.0,38
37.49999999999993,43.40000000000026,98.1407675721689,57.54980695469192,0.5864006200315484,False,2294.900041047186,1.0,39
37.49999999999993,43.50000000000026,98.14076757217838,98.14076757217838,1.0,False,1965.5854963745262,1.0,40
37.49999999999993,43.600000000000264,98.14076757217364,98.14076757217364,1.0,False,1844.6148969162334,1.0,41
37.49999999999993,43.700000000000266,98.14076757216417,98.14076757216417,1.0,False,2094.0335333945927,1.0,42
37.49999999999993,43.80000000000027,98.14076757217364,98.14076757217364,1.0,False,2400.91576538193,1.0,43
37.49999999999993,43.90000000000027,98.14076757217364,98.14076757217364,1.0,False,2551.4888231327263,1.0,44
37.49999999999993,44.00000000000027,98.14076757216417,98.14076757216417,1.0,True,2512.77003685395,1.0,45
37.49999999999993,44.10000000000027,98.14076757217364,98.14076757217364,1.0,False,2378.68831399967,1.0,46
37.49999999999993,44.20000000000027,98.14076757217364,98.14076757217364,1.0,False,2195.747170365029,1.0,47
37.49999999999993,44.300000000000274,98.14076757216417,98.14076757216417,1.0,False,2065.6602429204636,1.0,48
37.49999999999993,44.400000000000276,98.14076757217364,98.14076757217364,1.0,False,2087.6828329996615,1.0,49
37.49999999999993,44.50000000000028,98.14076757217364,98.14076757217364,1.0,False,2280.4573191812933,1.0,50
37.59999999999993,43.40000000000026,98.0114030831116,79.33403945987672,0.8094368304533212,False,2384.424430485414,1.0,51
37.59999999999993,43.50000000000026,98.01140308312107,98.01140308312107,1.0,False,2288.1396180461297,1.0,52
37.59999999999993,43.600000000000264,98.01140308311633,98.01140308311633,1.0,False,2196.361754274216,1.0,53
37.59999999999993,43.700000000000266,98.01140308310687,98.01140308310687,1.0,False,2161.7401940566856,1.0,54
37.59999999999993,43.80000000000027,98.01140308311633,98.01140308311633,1.0,False,2282.0962096057915,1.0,55
37.59999999999993,43.90000000000027,98.01140308311633,98.01140308311633,1.0,False,2401.530349291117,1.0,56
37.59999999999993,44.00000000000027,98.01140308310687,98.01140308310687,1.0,False,2414.026888777918,1.0,57
37.59999999999993,44.10000000000027,98.01140308311633,98.01140308311633,1.0,False,2292.8514280165627,1.0,58
