horizon_days,target,cell,algorithm,n_train_cells,n_train,n_test,RMSE,MAE,R2,NSE,KGE
1,snowc,0,XGBoost,81,1567350,4018,4.892859000483091,1.6774543523788452,0.9676666259765625,0.9676666,0.9565839456947426
1,snowc,1,XGBoost,81,1567350,4018,5.380265251909817,1.4387879371643066,0.9803369641304016,0.98033696,0.9892236038440164
1,snowc,2,XGBoost,81,1567350,4018,5.5116600936482865,1.6323450803756714,0.9781884551048279,0.97818846,0.9867209058371098
1,snowc,3,XGBoost,81,1567350,4018,5.567153869750023,1.7303484678268433,0.9784904718399048,0.9784905,0.985846528336797
1,snowc,4,XGBoost,81,1567350,4018,5.381729349192866,1.6004718542099,0.9823887348175049,0.98238873,0.9894326133083294
1,snowc,5,XGBoost,81,1567350,4018,5.074279080003651,1.0901118516921997,0.9854692220687866,0.9854692,0.9891523258490487
1,snowc,6,XGBoost,81,1567350,4018,4.862570542949094,1.079422116279602,0.9879003167152405,0.9879003,0.9893632636513822
1,snowc,7,XGBoost,81,1567350,4018,4.876865910188328,1.1636062860488892,0.9879419207572937,0.9879419,0.9902185533019368
1,snowc,8,XGBoost,81,1567350,4018,5.158310172296559,1.2273163795471191,0.9869029521942139,0.98690295,0.9913537534287999
1,snowc,9,XGBoost,81,1567350,4018,5.1583038863336315,1.2237141132354736,0.9876355528831482,0.98763555,0.9904675241596177
1,snowc,10,XGBoost,81,1567350,4018,4.690541209083068,0.994767963886261,0.9902292490005493,0.99022925,0.9923308961436142
1,snowc,11,XGBoost,81,1567350,4018,4.663193409265457,1.1164287328720093,0.9891279339790344,0.98912793,0.9921568629392941
1,snowc,12,XGBoost,81,1567350,4018,4.66054076073744,1.1107215881347656,0.989168643951416,0.98916864,0.9919110528281675
1,snowc,13,XGBoost,81,1567350,4018,4.594860124420359,1.0587419271469116,0.9895597100257874,0.9895597,0.9926145431859172
1,snowc,14,XGBoost,81,1567350,4018,4.620660963131363,1.0722614526748657,0.9895935654640198,0.98959357,0.9929804093983488
1,snowc,15,XGBoost,81,1567350,4018,4.605031388265889,1.0736867189407349,0.9900132417678833,0.99001324,0.9932996332515551
1,snowc,16,XGBoost,81,1567350,4018,4.729172268274605,1.1380506753921509,0.988856852054596,0.98885685,0.9925186504941729
1,snowc,17,XGBoost,81,1567350,4018,4.911486898307486,1.1288955211639404,0.9880871772766113,0.9880872,0.9920896749956704
1,snowc,18,XGBoost,81,1567350,4018,4.867426540327885,1.1217832565307617,0.9883866310119629,0.98838663,0.9921961630882826
1,snowc,19,XGBoost,81,1567350,4018,4.677896860760933,1.0627340078353882,0.9896335005760193,0.9896335,0.9929872141781723
1,snowc,20,XGBoost,81,1567350,4018,4.576136238457592,1.0096940994262695,0.9904537200927734,0.9904537,0.9934372540799318
1,snowc,21,XGBoost,81,1567350,4018,4.753715868658594,1.0652705430984497,0.98960280418396,0.9896028,0.9932519714769449
1,snowc,22,XGBoost,81,1567350,4018,4.763880275845812,1.0533193349838257,0.9897040128707886,0.989704,0.9929638801304734
1,snowc,23,XGBoost,81,1567350,4018,4.6502517878135885,1.0292718410491943,0.9902580976486206,0.9902581,0.9926522734679482
1,snowc,24,XGBoost,81,1567350,4018,4.9214750581555196,1.1875652074813843,0.9885343909263611,0.9885344,0.9907284365604723
1,snowc,25,XGBoost,81,1567350,4018,5.255710402652324,1.39085853099823,0.9858668446540833,0.98586684,0.990993302961025
1,snowc,26,XGBoost,81,1567350,4018,4.44835484986993,0.9384591579437256,0.991116464138031,0.99111646,0.9943226639415442
1,snowc,27,XGBoost,81,1567350,4018,4.592409937540836,0.992242157459259,0.9903622269630432,0.9903622,0.9938421893151824
1,snowc,28,XGBoost,81,1567350,4018,4.599898187920402,0.9724036455154419,0.9904492497444153,0.99044925,0.9937089263307858
1,snowc,29,XGBoost,81,1567350,4018,4.523000218366322,0.961742639541626,0.9909684658050537,0.99096847,0.992504287014027
1,snowc,30,XGBoost,81,1567350,4018,4.249539069817832,0.9467988610267639,0.9918819665908813,0.99188197,0.9931993993441637
