horizon_days,target,algorithm,settings,is_published,valid_RMSE,test_R2,test_RMSE
1,sd,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,0.00581566946555791,0.99931408656882,0.005343897694887625
1,sd,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,0.005573044454001976,0.999377728110608,0.005089950666500319
1,sd,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,0.005507036836337997,0.9993898067204178,0.005040309346300215
1,sd,Random Forest,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,0.005491843177910605,0.9993932791643578,0.00502594737003166
1,sd,Random Forest,"n_estimators=200, max_depth=18, min_samples_leaf=1",False,0.0055761233803117965,0.999373711976554,0.00510634948475654
1,sd,Random Forest,"n_estimators=200, max_depth=18, min_samples_leaf=2",False,0.0055268801750174585,0.999385210571433,0.005059256255201352
1,sd,Random Forest,"n_estimators=200, max_depth=18, min_samples_leaf=5",False,0.005470211339022748,0.999391343848531,0.005033956861911494
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,1.2691108330765153,0.946102181579384,1.1749907100468977
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,1.2653748932505704,0.9448514081650746,1.1885461600324843
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,1.2815974291318317,0.9446141899880911,1.1910996451027989
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,1.2061790842164846,0.9512362229428499,1.1176286030002212
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,1.2092091365199416,0.9509499989990284,1.12090382129339
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,1.2192437036706998,0.9493637470397481,1.1388843361013052
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,1.223601182373004,0.9495848275823005,1.1363954019818823
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,1.2119333113454434,0.9515253679438945,1.1143101850229133
1,smlt_mm,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,1.2202135719543004,0.9506714520099193,1.1240820309205155
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,1.272936183408717,0.9457857107091054,1.1784352472597224
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,1.2713892981009818,0.9448793877528433,1.1882446178757133
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,1.287951393880281,0.9436526506809414,1.2013943491320647
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,1.2068966245020956,0.9517209728661409,1.1120596791877386
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,1.2085111025061843,0.9511612406860982,1.118487541024843
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=5",False,1.2236170708381662,0.9495508362624419,1.136778432218493
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=1",False,1.2169212291162765,0.9501592534139887,1.129902862873572
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=2",False,1.2093345350737872,0.9516928650905232,1.1123833495020252
1,smlt_mm,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=5",False,1.2180283282266622,0.9506845947627702,1.123932274672979
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=1",False,1.2726302761893018,0.9460204270172985,1.1758815109554235
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=2",False,1.2744160048608553,0.9451559722483396,1.1852596786866414
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,1.2860950234683663,0.9436971476123281,1.2009198909666057
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,1.205440537026163,0.951750314519046,1.1117216998389003
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,1.2045324648013123,0.9513808331289857,1.1159701949517504
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,1.2245799376187247,0.9500618455792463,1.1310064545718717
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=1",False,1.2125535048927945,0.9511626693611578,1.1184711814063442
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=2",False,1.2060185134187211,0.9523023006148682,1.105344247736216
1,smlt_mm,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=5",False,1.2157136028275892,0.9507240297305398,1.1234828096741116
7,snowc,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,12.917233687372764,0.956087212586559,10.237873514309577
7,snowc,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,12.96243791592607,0.956046686426151,10.242596580720399
7,snowc,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,12.951917646392436,0.9555356163232358,10.301972719064013
7,snowc,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,13.362048953564257,0.9569571360006685,10.135958819963724
7,snowc,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,13.244630912049779,0.9557275841941338,10.27971010379737
7,snowc,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,13.143914141929399,0.9570031279765929,10.130542157066552
7,snowc,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,14.268674119535198,0.9509176216687387,10.823732646900138
7,snowc,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,13.84669251594653,0.9548278990383777,10.383634723939071
7,snowc,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,13.304026605738429,0.9565543770581916,10.183270293937937
7,snowc,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,12.91272012867769,0.9563618523890393,10.205808393748262
7,snowc,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,12.937919522130771,0.9560363544081817,10.24380036338129
7,snowc,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,12.9109430913352,0.955440000034442,10.31304346074372
7,snowc,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,13.381474099299353,0.9568486018072074,10.148729874229485
7,snowc,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,13.249277496788114,0.95614855190345,10.230720659104128
7,snowc,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=5",False,13.128526626007178,0.9572875562853718,10.09697932019904
7,snowc,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=1",False,14.244496352336467,0.9511587889690277,10.797108582923215
7,snowc,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=2",False,13.845902063381716,0.9547209960769135,10.395914264931838
7,snowc,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=5",False,13.306777651007703,0.9565198939658359,10.187310758502798
7,snowc,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=1",False,12.948768180315795,0.9564741850112036,10.192664114919348
7,snowc,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=2",False,12.933466767943353,0.9562175869834895,10.222664405071086
7,snowc,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,12.926275943304812,0.9558924270491095,10.260554642956084
7,snowc,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,13.370301010612911,0.9565807013921012,10.180184730787879
7,snowc,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,13.238361463495169,0.9563635106187971,10.205614483867988
7,snowc,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,13.114503403266628,0.956773964453517,10.157503020779428
7,snowc,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=1",False,14.230124244087143,0.9515311307163182,10.755873879913102
7,snowc,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=2",False,13.838754726599078,0.9546178096755635,10.407753157465779
7,snowc,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=5",False,13.30079142757533,0.9562197200497913,10.222415379434404
7,sd,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,0.02620041436375036,0.9846462366795203,0.02528313377637342
7,sd,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,0.026284552804433634,0.9845877303894675,0.025331259302439044
7,sd,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,0.026395086806933563,0.9842836329988482,0.02557994242317748
7,sd,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,0.025189847832640288,0.9858422787806707,0.02427840545351873
7,sd,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,0.02515675525325758,0.9860283369005887,0.024118346720852495
7,sd,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,0.02525368644865415,0.985509566424775,0.024562025163531617
7,sd,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,0.026214183969154172,0.9846213162364033,0.025303643778657316
7,sd,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,0.0258360177621469,0.9850704807510784,0.024931384310548425
7,sd,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,0.025555220981503455,0.9855953600102721,0.024489204961656887
7,sd,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,0.026306955543006362,0.9846617713954761,0.02527033998463014
7,sd,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,0.026251299876368,0.984663361881278,0.025269029756442515
7,sd,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,0.02631328351479322,0.9844280272700157,0.025462163292682683
7,sd,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,0.025209142466483484,0.9858442384967997,0.024276725083189395
7,sd,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,0.02511262587636062,0.9861600612225043,0.02400438403621682
7,sd,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=5",False,0.025271861908772484,0.9856631632682655,0.024431501109101944
7,sd,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=1",False,0.02611791920201104,0.9848726942996051,0.025095986581404772
7,sd,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=2",False,0.02589183450760995,0.9851672304048665,0.024850470004540156
7,sd,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=5",False,0.0255351191046017,0.985700874640148,0.02439934784851127
7,sd,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=1",False,0.026219817711489315,0.9847284085393333,0.02521538656442672
7,sd,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=2",False,0.02606553272884842,0.9848271430873162,0.025133742589163212
7,sd,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,0.026340140459538492,0.9845530071924217,0.025359778380815184
7,sd,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,0.025140932619633724,0.9859177873392471,0.024213575872606093
7,sd,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,0.025131712983846838,0.9860361569364409,0.024111596173936035
7,sd,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,0.025174779983778327,0.9858230190090216,0.024294913676117837
