time;t2m_C;d2m_C;tsn_C;sp_hPa;ws;wd;snowc;sd;rsn;sde_mm;tp_mm;e_mm;sro_mm;ro_mm;ssro_mm;smlt_mm;sf_mm;ssr_W;ssrd_W;str_W;strd_W;slhf_W;sshf_W
1950-01-21;-11.484463;-12.994603;-18.156143;739.1624;0.59286124;259.92838;100.0;0.35376862;194.41566;1817.4642;19.525175;0.027049333;0.0;0.12278557;0.12277812;0.0;19.523066;305.055;1131.6489;295.4039;6049.317;21.122223;15.5211115
1950-01-22;-9.634898;-10.819362;-12.416274;736.874;0.6063272;207.53459;100.0;0.38451055;175.87563;2182.2917;31.842611;0.018890947;0.0;0.12214482;0.12214482;0.0;31.838287;279.19888;1203.4445;123.068886;6329.151;14.87;-35.006668
1950-01-23;-10.200745;-11.685897;-10.340648;739.09344;0.7751701;216.65196;100.0;0.40511954;176.15785;2304.8503;5.1686344;-0.027501956;0.0;0.12153387;0.12151897;0.0;5.163297;562.2072;2430.729;-378.65277;5835.3887;-20.843334;-130.78778
1950-01-24;-11.499634;-13.229603;-10.291238;734.84406;1.001543;196.71379;100.0;0.42044032;181.12433;2321.818;18.211514;-0.0754185;0.0;0.12089312;0.12089312;0.0;18.200441;333.20166;1444.9689;-362.48;5785.8296;-58.918888;-144.44444
1950-01-25;-14.076625;-17.195868;-12.880249;734.47784;0.94721156;61.474747;100.0;0.42658496;189.58592;2254.2317;1.0813837;-0.06202236;0.0;0.12028217;0.12026727;0.0;1.0745823;679.1272;2894.831;-804.2789;5044.556;-47.74222;-153.83444
1950-01-26;-15.28358;-19.155128;-14.659335;733.7002;1.1085894;60.23341;100.0;0.42821947;197.16078;2174.5605;1.8895298;-0.07894449;0.0;0.119656324;0.119656324;0.0;1.8869267;695.045;2903.6467;-727.1272;4966.3423;-61.125557;-146.27112
1950-01-27;-17.802534;-23.061018;-17.313126;733.12445;1.5171046;27.208138;100.0;0.42925712;203.35414;2113.4033;0.18754601;-0.056611374;0.0;0.11904538;0.119037926;0.0;0.18488988;936.6578;3840.9333;-1519.9255;3772.6367;-43.390556;-120.236664
1950-01-28;-17.845123;-26.242783;-22.73403;739.4626;0.93721396;160.57387;100.0;0.42926466;208.235;2063.029;0.0023484225;-0.008357689;0.0;0.11843443;0.11844188;0.0;0.000230968;1031.7128;4115.9478;-1572.8467;3272.377;-5.9522223;-34.055557
1950-01-29;-17.013899;-21.283495;-24.719933;743.614;0.86573046;295.1071;100.0;0.42929423;211.59113;2030.1514;0.02950728;0.02413895;0.0;0.117853284;0.11784583;0.0;0.025585294;1033.6505;4020.1023;-1145.8511;3710.205;18.961666;-23.331112
1950-01-30;-14.898398;-18.779428;-23.402956;743.7783;0.7742689;295.97238;100.0;0.4293671;214.73045;2001.058;0.115683645;0.02925191;0.0;0.11725724;0.11725724;0.0;0.11095777;1055.9495;4006.4055;-908.2361;4159.401;23.012222;-20.886667
1950-01-31;-12.785648;-14.555474;-19.247301;742.03516;0.7607174;238.88252;100.0;0.43054882;216.9212;1985.555;2.155198;0.030386262;0.0;0.11667609;0.11668354;0.0;2.1507852;763.0833;2858.2988;-108.205;5543.289;23.87111;-71.664444
1950-02-01;-12.333221;-16.56545;-16.118776;739.2871;0.7216261;170.90552;100.0;0.43271995;218.97003;1977.9053;1.243192;-0.00166893;0.0;0.116080046;0.1161024;0.0;1.2398474;1045.4417;3967.2534;-1024.7478;4599.2217;-1.0744444;-107.97222
1950-02-02;-11.907891;-14.250023;-14.708122;734.55865;0.74385864;59.023884;100.0;0.43977168;216.18324;2033.4879;12.043735;0.0048140064;0.0;0.1155138;0.1155287;0.0;12.038462;386.06833;1516.7522;-28.263334;5936.7627;3.8144445;-39.78
1950-02-03;-12.735443;-14.642128;-12.558403;734.3457;1.1491936;202.43262;100.0;0.4518138;210.4746;2144.3684;15.93699;-0.081898645;0.0;0.11494756;0.11496246;0.0;15.928395;580.2889;2433.7688;-140.89833;5913.691;-64.31;-248.16112
1950-02-04;-14.274078;-16.392145;-12.150838;728.7537;1.2047999;193.1136;100.0;0.46797502;200.52538;2333.9436;7.02616;-0.07786043;0.0;0.114411116;0.114411116;0.0;7.018991;730.16223;3149.9443;-727.74835;5217.569;-61.174446;-267.58112
1950-02-05;-19.190914;-24.235626;-16.629597;732.82446;1.2353966;130.45634;100.0;0.47093204;205.88182;2287.8418;4.595566;-0.08817203;0.0;0.11385977;0.11385232;0.0;4.5913234;1028.7189;4343.027;-1181.6161;4187.4497;-69.28;-269.79556
1950-02-06;-16.030485;-20.009844;-16.769943;734.0965;1.4919947;29.657133;100.0;0.48084912;200.2871;2399.8616;8.1855;-0.054413453;0.0;0.11330843;0.11330843;0.0;8.178334;467.9389;2005.1455;-543.6983;5058.382;-42.781113;-70.98556
1950-02-07;-14.80795;-24.633017;-20.277557;745.5408;1.0392271;63.496334;100.0;0.48350105;204.02016;2372.0295;0.0008523463;-0.0055301934;0.0;0.11277199;0.11276454;0.0;0.0;1096.3167;4596.8047;-1641.0717;3397.8118;-4.1844444;-40.54111
1950-02-08;-12.279845;-25.8609;-22.527283;750.6381;1.1948038;33.904194;100.0;0.48350024;208.84503;2316.6096;0.0017142629;-0.0018626451;0.0;0.112220645;0.112220645;0.0;0.0;1140.2811;4653.479;-1364.6705;3653.6123;-1.2755556;61.49222
1950-02-09;-8.315539;-25.459955;-22.20388;748.7325;0.86742705;183.35643;100.0;0.48350418;213.14647;2270.0603;0.0030007558;-0.001238659;0.0;0.1116842;0.1116842;0.0;0.0;1168.2816;4643.048;-1348.6772;3747.0557;-0.99222225;87.57445
1950-02-10;-10.445938;-27.963959;-22.116638;743.5887;0.5797503;275.00085;100.0;0.48349848;217.28285;2226.9287;0.0008808278;-0.012441538;0.0;0.11114776;0.11116266;0.0;0.0;1146.6494;4444.5044;-1168.7245;3958.1028;-9.788333;-8.315556
1950-02-11;-11.8008995;-23.843237;-21.694946;742.10956;0.70442486;270.34146;100.0;0.48349258;221.30206;2186.4421;0.00042617318;0.0015655532;0.0;0.11064112;0.11063367;0.0;0.0;1223.2544;4622.171;-1263.225;3884.3926;1.2044444;-27.447779
1950-02-12;-11.910562;-21.245554;-20.778187;744.1682;1.0225731;37.235718;100.0;0.48353624;225.24445;2148.6003;0.05045533;0.008115545;0.0;0.11011958;0.11010468;0.0;0.04915893;1226.6744;4526.257;-1188.4994;4081.01;6.2988887;-11.79
1950-02-13;-8.676497;-20.391947;-20.093103;747.8885;1.0589795;69.17783;100.0;0.48355925;229.28644;2110.6365;0.00085532654;0.008910894;0.0;0.10959804;0.10959804;0.0;0.0;1351.1372;4867.5645;-1378.6711;3930.8877;6.928889;43.655556
1950-02-14;-8.568428;-18.655886;-18.823631;747.8105;1.1475639;71.19968;100.0;0.4835694;233.44073;2073.4456;0.0012874602;0.015342608;0.0;0.1090914;0.10908395;0.0;0.0;1370.385;4823.6245;-1379.2161;4063.8623;11.925555;30.368889
1950-02-15;-9.930608;-20.418684;-18.483671;750.3044;1.6651238;16.877916;100.0;0.48358122;237.64418;2036.9873;0.0004261732;0.0007208437;0.0;0.10858476;0.10858476;0.0;0.0;1442.3033;4962.1143;-1542.7639;3878.0417;0.46555555;52.774445
1950-02-16;-6.780084;-22.131586;-17.749222;750.02563;1.1017376;198.02147;100.0;0.48357606;241.76007;2002.1973;0.00085532654;-0.011308119;0.0;0.10807812;0.10807812;0.0;0.0;1490.5945;5015.1855;-1531.0083;3989.1292;-8.92;47.737778
1950-02-17;-8.015957;-21.445541;-17.213446;744.37305;0.98101264;249.43738;100.0;0.48356387;245.84503;1968.6686;0.040142074;-0.024557114;0.0;0.107586384;0.10757148;0.0;0.038854778;1521.8094;5010.3633;-1399.7128;4189.308;-19.344444;-24.803333
1950-02-18;-9.61176;-19.229065;-16.668861;745.2993;1.0627165;236.16992;100.0;0.48358533;249.87628;1937.4594;0.0005751848;-0.009715557;0.0;0.107079744;0.107087195;0.0;0.00014156103;1573.5261;5076.0835;-1589.4806;3976.0334;-7.733333;-60.685555
1950-02-19;-6.6338906;-15.437327;-15.317395;746.84186;0.94968194;124.27213;100.0;0.48358503;253.9645;1906.0465;0.0;0.01504831;0.0;0.10660291;0.106588006;0.0;0.0;1586.3628;5011.739;-1381.3334;4433.022;11.737778;-37.415554
1950-02-20;-4.9809356;-14.503501;-13.686134;748.5887;0.8453362;172.19533;100.0;0.48359033;258.35904;1873.4131;0.0012845173;-0.009646639;0.0;0.10611117;0.10610372;0.0;0.0;1603.79;4963.849;-1332.8138;4650.0713;-7.657778;-42.76
1950-02-21;-6.068685;-10.9298525;-11.581227;743.9209;0.67539626;175.79402;100.0;0.48871648;258.29654;1890.4215;20.756126;-0.02158247;0.0;0.10563433;0.10562688;0.0;20.736206;916.3478;2795.6777;-395.31332;5875.6;-17.02111;-27.22889
1950-02-22;-6.0252175;-7.2725425;-8.117045;742.783;0.6894682;223.05794;100.0;0.51017267;243.9199;2092.6921;6.550468;-0.021090731;0.0;0.10514259;0.105150044;0.0;6.546598;659.91223;2806.4172;-210.865;6351.8735;-16.636667;-132.21556
1950-02-23;-5.174154;-6.306122;-6.336202;747.8309;1.0021749;214.62854;100.0;0.5129601;251.41046;2042.7246;1.9355799;-0.043308362;0.0;0.10468066;0.10468066;0.0;1.9182228;791.81946;3307.7734;-483.42166;6174.2324;-34.075554;-164.92444
1950-02-24;-5.2863564;-6.3789062;-5.4281716;748.2989;0.9898515;207.269;100.0;0.5164371;258.1439;2001.2614;9.163695;-0.05510077;0.0;0.10420382;0.10421127;0.0;9.007815;488.83722;2008.5294;-226.80722;6512.472;-43.39111;-133.84555
1950-02-25;-3.6074727;-5.1837974;-4.541055;746.4091;1.0971643;193.86827;100.0;0.52901655;258.77475;2045.166;10.036453;-0.07177051;0.0;0.103756785;0.103741884;0.0;9.572357;721.87;3064.406;-349.50665;6470.789;-56.47111;-154.38889
1950-02-26;-3.5743713;-4.30056;-3.3587825;742.6186;0.67892504;165.30925;100.0;0.543934;260.16635;2090.6575;15.570545;-0.059181824;0.0;0.10327995;0.10327995;0.0;15.350375;426.72778;1827.5967;-191.15778;6752.406;-46.558887;-128.54222
1950-02-27;-3.7674053;-5.2000756;-3.1796353;745.76886;0.65719044;228.64116;100.0;0.55127436;266.6898;2069.4988;1.8069893;-0.105580315;0.0;0.10283291;0.10282546;0.0;1.7987043;956.8;4024.525;-645.8039;6257.3364;-83.11;-236.76
1950-02-28;-3.3528748;-9.55743;-4.1619363;750.5174;0.9546612;120.93329;100.0;0.5518116;276.1494;2000.4476;0.0042354567;-0.13474561;0.0;0.10237098;0.10237098;0.0;0.0025182962;1306.164;5260.185;-1528.6616;5058.012;-105.587776;-221.96777
1950-03-01;-0.32577515;-11.627418;-6.732971;752.0984;1.0099205;49.317394;100.0;0.5517449;283.55142;1947.6725;0.0017183784;-0.049480237;0.0;0.10192394;0.10191649;0.0;0.0;1435.414;5585.9453;-1628.7556;4737.375;-38.415554;-58.942223
1950-03-02;0.08230591;-13.00805;-7.478536;751.1477;0.89723897;163.17206;100.0;0.5516972;289.49023;1907.2266;0.00086863106;-0.068012625;0.0;0.10147691;0.10146946;0.0;0.0;1472.6244;5569.217;-1378.6189;5039.9844;-52.935555;-69.54444
1950-03-03;0.54990643;-11.682942;-7.165151;751.0256;0.64869547;272.00217;100.0;0.5516363;295.01205;1871.5006;0.0017223201;-0.05915016;0.0;0.10101497;0.10102987;0.0;0.0;1521.535;5589.9927;-1420.2905;5050.778;-45.97167;-97.96
1950-03-04;0.15986125;-4.085327;-6.7221885;752.2717;0.83530027;178.6638;100.0;0.55158246;300.35806;1838.4603;0.0038027763;0.03305357;0.0053197145;0.10588765;0.10058284;0.10513142;0.0;1491.1614;5318.1104;-1166.5161;5402.511;26.321112;-108.57667
1950-03-05;-0.66660565;-3.55071;-5.112732;750.439;0.7927665;223.10663;100.0;0.55306405;304.5153;1817.0166;9.605194;-0.0253506;0.017672777;0.11780858;0.100150704;0.23039803;9.02554;1134.9392;3925.8066;-541.935;6313.813;-19.673334;-107.17778
1950-03-06;-2.686676;-3.2464397;-2.7643127;742.88666;0.94079494;208.86261;100.0;0.57259476;295.99316;1934.2041;23.862743;-0.05180016;0.029295683;0.12901425;0.09971857;0.111848116;22.101883;350.4044;1412.8986;-167.595;6844.671;-40.644444;-101.735275
1950-03-07;-4.160685;-5.4364457;-2.8107288;738.73065;1.428604;200.50342;100.0;0.58821017;292.10742;2014.1602;16.40718;-0.21914765;0.0;0.09930134;0.09927899;0.0;16.369942;1211.3914;5042.239;-801.80664;6077.556;-171.93556;-375.87332
1950-03-08;-5.705845;-7.071234;-3.5017917;735.8689;1.3518767;184.96284;100.0;0.6136921;279.4476;2196.4111;15.209633;-0.17188954;0.0;0.0988543;0.098861754;0.0;15.171636;858.1625;3707.1455;-776.16833;5981.398;-134.91888;-292.50446
