time;tp_mm;PET_mm;D_mm;PET_PM_mm;D_PM_mm;SPEI_PM_3;SPEI_PM_12;SPEI_PM_24;SPEI_3;SPEI_12;SPEI_24
1950-01-01;267.73926;3.2238708746830067;264.51538693781697;3.2238708746830067;264.51538693781697;;;;;;
1950-02-01;114.95799;6.502181157615291;108.45581139609564;6.502181157615291;108.45581139609564;;;;;;
1950-03-01;127.45045;10.827827493919976;116.62261958859955;10.827827493919976;116.62261958859955;0.4445509841076973;;;0.4445509841076973;;
1950-04-01;43.335155;36.400133508862254;6.935021978198293;36.400133508862254;6.935021978198293;-1.1547301942587003;;;-1.1547301942587003;;
1950-05-01;122.721016;73.06922653419576;49.65178939598002;73.06922653419576;49.65178939598002;-0.5670754630228347;;;-0.5670754630228347;;
1950-06-01;10.385952;120.61074241842029;-110.22479042257068;120.61074241842029;-110.22479042257068;-0.4230275793998374;;;-0.4230275793998374;;
1950-07-01;3.3089888;131.28292509056197;-127.9739362809764;131.28292509056197;-127.9739362809764;0.4578543243254303;;;0.4578543243254303;;
1950-08-01;2.083428;124.79248350212342;-122.70905559608704;124.79248350212342;-122.70905559608704;-0.10958966852644692;;;-0.10958966852644692;;
1950-09-01;5.411088;86.98853301736902;-81.5774450275619;86.98853301736902;-81.5774450275619;-0.2193404330859348;;;-0.2193404330859348;;
1950-10-01;83.10674;44.85877910039121;38.24796375849551;44.85877910039121;38.24796375849551;0.4080194333509211;;;0.4080194333509211;;
1950-11-01;44.732517;24.681631527792746;20.050885714638895;24.681631527792746;20.050885714638895;-0.18722523246840453;;;-0.18722523246840453;;
1950-12-01;84.91612;9.187137578439648;75.72898485808379;9.187137578439648;75.72898485808379;-0.3776175256361152;-0.07505043770954087;;-0.3776175256361152;-0.07505043770954087;
1951-01-01;125.45555;3.3960601617704516;122.05949098569049;3.3960601617704516;122.05949098569049;-0.5379404585577573;-0.7306681170161059;;-0.5379404585577573;-0.7306681170161059;
1951-02-01;95.445305;5.687599939792172;89.7577049308133;5.687599939792172;89.7577049308133;-0.4039075258728272;-1.0004170930023066;;-0.4039075258728272;-1.0004170930023066;
1951-03-01;49.01652;12.637754793581493;36.37876666027593;12.637754793581493;36.37876666027593;-1.140242375095195;-1.5242925965471652;;-1.140242375095195;-1.5242925965471652;
1951-04-01;80.658775;42.75802483988718;37.900750489702666;42.75802483988718;37.900750489702666;-2.288105343378584;-1.1767969148181407;;-2.288105343378584;-1.1767969148181407;
1951-05-01;66.08105;94.28438558984817;-28.203338531742702;94.28438558984817;-28.203338531742702;-2.159761168962631;-1.907306603160677;;-2.159761168962631;-1.907306603160677;
1951-06-01;13.66939;125.6354251507513;-111.96603542601986;125.6354251507513;-111.96603542601986;-0.9425689509734321;-1.922723223455723;;-0.9425689509734321;-1.922723223455723;
1951-07-01;0.40934914;144.4228120669792;-144.0134629234741;144.4228120669792;-144.0134629234741;-0.7397250018041555;-2.1862448763544085;;-0.7397250018041555;-2.1862448763544085;
1951-08-01;4.2962856;126.27646460408076;-121.9801789748083;126.27646460408076;-121.9801789748083;-0.8603505227525232;-2.09909579684572;;-0.8603505227525232;-2.09909579684572;
1951-09-01;11.386696;85.99208559597551;-74.6053897341591;85.99208559597551;-74.6053897341591;-0.6406485755477942;-1.9369835180578252;;-0.6406485755477942;-1.9369835180578252;
1951-10-01;119.77058;39.11588894325157;80.6546875337992;39.11588894325157;80.6546875337992;0.8381825351985336;-1.4892955896801465;;0.8381825351985336;-1.4892955896801465;
1951-11-01;58.69499;13.85382648290216;44.84116176783026;13.85382648290216;44.84116176783026;0.38588176101305105;-1.4126253419760753;;0.38588176101305105;-1.4126253419760753;
1951-12-01;153.0712;3.478643223541781;149.59255428622384;3.478643223541781;149.59255428622384;0.4590612712951992;-1.0416648680874345;-0.7149288479721556;0.4590612712951992;-1.0416648680874345;-0.7149288479721556
1952-01-01;44.666615;4.414360324739701;40.252254207731;4.414360324739701;40.252254207731;-0.40909303987873363;-1.5719969371463631;-1.7867227767777725;-0.40909303987873363;-1.5719969371463631;-1.7867227767777725
1952-02-01;262.92603;5.154506439547014;257.771518951078;5.154506439547014;257.771518951078;0.5127201296400095;-0.3770135906652998;-1.0651737879648833;0.5127201296400095;-0.3770135906652998;-1.0651737879648833
1952-03-01;176.9789;8.747855866687855;168.23104122803872;8.747855866687855;168.23104122803872;0.3484170727050157;0.11170325622361774;-0.7693167048458497;0.3484170727050157;0.11170325622361774;-0.7693167048458497
1952-04-01;76.52208;32.13419875019195;44.38788071758149;32.13419875019195;44.38788071758149;0.4714080734269798;0.11288224499971067;-0.6222226367239639;0.4714080734269798;0.11288224499971067;-0.6222226367239639
1952-05-01;52.271008;74.7236753387528;-22.452667800911;74.7236753387528;-22.452667800911;-0.4306000475644466;0.13806315791971194;-0.886706381290247;-0.4306000475644466;0.13806315791971194;-0.886706381290247
1952-06-01;21.68751;121.83357038519542;-100.14606084845225;121.83357038519542;-100.14606084845225;-0.6675544717723307;0.17410281724744742;-0.8366356634015891;-0.6675544717723307;0.17410281724744742;-0.8366356634015891
1952-07-01;9.400713;140.11226862200385;-130.7115556550849;140.11226862200385;-130.7115556550849;-0.24717075373556277;0.2062901885377298;-0.8214961361151647;-0.24717075373556277;0.2062901885377298;-0.8214961361151647
1952-08-01;1.4430912;126.80266396979866;-125.35957281570015;126.80266396979866;-125.35957281570015;0.04013403671378933;0.19826822537578495;-0.8183527423938709;0.04013403671378933;0.19826822537578495;-0.8183527423938709
1952-09-01;6.6531487;89.96117388017606;-83.30802522905302;89.96117388017606;-83.30802522905302;-0.5703828037443359;0.1789134425420538;-0.8205738736259975;-0.5703828037443359;0.1789134425420538;-0.8205738736259975
1952-10-01;1.9899737;59.32294343485984;-57.332969770576085;59.32294343485984;-57.332969770576085;-4.753424308822899;-0.26522496109663224;-1.251294094042057;-4.753424308822899;-0.26522496109663224;-1.251294094042057
1952-11-01;29.072184;21.55425327573047;7.5179303332783185;21.55425327573047;7.5179303332783185;-4.062077824575217;-0.4205145948008041;-1.3564279262194758;-4.062077824575217;-0.4205145948008041;-1.3564279262194758
1952-12-01;59.199146;7.563555594486441;51.63559067626551;7.563555594486441;51.63559067626551;-2.42857132374111;-1.377004747081163;-1.8033859427853693;-2.42857132374111;-1.377004747081163;-1.8033859427853693
1953-01-01;102.95762;4.926018958582086;98.03159975479682;4.926018958582086;98.03159975479682;-1.1119995515253005;-0.6526045918294018;-1.6863004207359769;-1.1119995515253005;-0.6526045918294018;-1.6863004207359769
1953-02-01;191.01996;5.990906492299552;185.0290520037942;5.990906492299552;185.0290520037942;-0.04456974919109173;-1.4898959873436506;-1.284032477402169;-0.04456974919109173;-1.4898959873436506;-1.284032477402169
1953-03-01;238.27365;7.5039727645546375;230.76967835849223;7.5039727645546375;230.76967835849223;0.5368334166447913;-0.6988497897521871;-0.43864599615526695;0.5368334166447913;-0.6988497897521871;-0.43864599615526695
1953-04-01;79.72759;35.196259531881886;44.53133293637983;35.196259531881886;44.53133293637983;0.430447300804804;-0.7286165797893291;-0.3902040022581849;0.430447300804804;-0.7286165797893291;-0.3902040022581849
1953-05-01;32.728657;83.79456358746458;-51.06590681866575;83.79456358746458;-51.06590681866575;-0.185269151650907;-0.8524759118389356;-0.47772777875831535;-0.185269151650907;-0.8524759118389356;-0.47772777875831535
1953-06-01;35.110893;125.00290111683877;-89.89200786732705;125.00290111683877;-89.89200786732705;-0.8720701373963485;-0.775380613004681;-0.40509600482871794;-0.8720701373963485;-0.775380613004681;-0.40509600482871794
1953-07-01;28.676596;133.82035095573045;-105.14375526786424;133.82035095573045;-105.14375526786424;-0.149925430849673;-0.6008490959554578;-0.29513817841756623;-0.149925430849673;-0.6008490959554578;-0.29513817841756623
1953-08-01;0.63168615;125.58366801048342;-124.95198185945574;125.58366801048342;-124.95198185945574;0.7989778002482604;-0.5681055160373218;-0.2958152335694764;0.7989778002482604;-0.5681055160373218;-0.2958152335694764
1953-09-01;1.3810627;89.29196012319728;-87.91089737714931;89.29196012319728;-87.91089737714931;0.2815093470374264;-0.6061815077814368;-0.32941187934173755;0.2815093470374264;-0.6061815077814368;-0.32941187934173755
1953-10-01;48.751495;52.13126104336862;-3.3797656820404924;52.13126104336862;-3.3797656820404924;-0.365903443313685;-0.3910078990982961;-0.551572981046328;-0.365903443313685;-0.3910078990982961;-0.551572981046328
1953-11-01;189.7808;13.556724230867438;176.22408326424974;13.556724230867438;176.22408326424974;0.5697269049646148;0.20086424458348914;-0.1973315237980318;0.5697269049646148;0.20086424458348914;-0.1973315237980318
1953-12-01;57.98932;4.209893230339074;53.77942561731717;4.209893230339074;53.77942561731717;0.23093888320175826;0.23382144738171576;-0.5011509329535349;0.23093888320175826;0.23382144738171576;-0.5011509329535349
1954-01-01;267.6787;3.5843022498481885;264.0944086876518;3.5843022498481885;264.0944086876518;0.7708877677205717;0.5623326901230774;0.07923686607155261;0.7708877677205717;0.5623326901230774;0.07923686607155261
1954-02-01;240.10316;3.9126673835001915;236.19049728935138;3.9126673835001915;236.19049728935138;0.8428969674019149;0.6815093702444092;0.030063133508231882;0.8428969674019149;0.6815093702444092;0.030063133508231882
1954-03-01;182.78471;11.68970658226597;171.09500716285123;11.68970658226597;171.09500716285123;0.9993464242925374;0.5344233360020436;0.018828680534744718;0.9993464242925374;0.5344233360020436;0.018828680534744718
1954-04-01;154.79149;24.362416412777403;130.42907223468353;24.362416412777403;130.42907223468353;0.7127912921161079;0.7212886019339824;0.20454895839621165;0.7127912921161079;0.7212886019339824;0.20454895839621165
1954-05-01;22.80163;66.01134653044976;-43.209716510308155;66.01134653044976;-43.209716510308155;0.02761372842118743;0.7078333330802709;0.14447943857925152;0.02761372842118743;0.7078333330802709;0.14447943857925152
1954-06-01;6.69738;125.5640800452216;-118.86669997930363;125.5640800452216;-118.86669997930363;-0.22966705989089095;0.6534974263638346;0.11225628770429666;-0.22966705989089095;0.6534974263638346;0.11225628770429666
1954-07-01;11.895437;132.8703333011107;-120.9748960605101;132.8703333011107;-120.9748960605101;-0.7191145419232676;0.6013538724236489;0.12588898775659568;-0.7191145419232676;0.6013538724236489;0.12588898775659568
1954-08-01;12.863856;125.99180341008623;-113.12794709447344;125.99180341008623;-113.12794709447344;0.13406006885317256;0.6047363280503044;0.14954766621252905;0.13406006885317256;0.6047363280503044;0.14954766621252905
1954-09-01;20.265528;85.95596655088579;-65.69043882566606;85.95596655088579;-65.69043882566606;0.7034035060832301;0.6554836789275802;0.17795492303274177;0.7034035060832301;0.6554836789275802;0.17795492303274177
1954-10-01;4.2641006;55.242777449479924;-50.9786768978747;55.242777449479924;-50.9786768978747;-0.707259767568409;0.6048216730261725;0.20339708654362018;-0.707259767568409;0.6048216730261725;0.20339708654362018
1954-11-01;37.083233;19.71545982765018;17.367773051988493;19.71545982765018;17.367773051988493;-1.3793671035839206;0.29331819279105525;0.2336766261415483;-1.3793671035839206;0.29331819279105525;0.2336766261415483
1954-12-01;109.658485;4.193194140285954;105.4652912723117;4.193194140285954;105.4652912723117;-1.0120248954343385;0.4610026765512441;0.3479246901079771;-1.0120248954343385;0.4610026765512441;0.3479246901079771
1955-01-01;11.323639;4.207765186320072;7.115873729695553;4.207765186320072;7.115873729695553;-1.4548497185450182;-0.4090222846047298;0.16737495748220538;-1.4548497185450182;-0.4090222846047298;0.16737495748220538
1955-02-01;92.062195;5.922524667311045;86.1396701569077;5.922524667311045;86.1396701569077;-1.6783082920045687;-2.181761873728676;-0.04013446389129957;-1.6783082920045687;-2.181761873728676;-0.04013446389129957
1955-03-01;106.97162;9.538152893128405;97.43346575921535;9.538152893128405;97.43346575921535;-1.932564864585141;-3.440554934321972;-0.3866432977997343;-1.932564864585141;-3.440554934321972;-0.3866432977997343
1955-04-01;110.60109;33.09700463563168;77.50408484190739;33.09700463563168;77.50408484190739;-0.841413659907483;-4.753424308822899;-0.26504934011099746;-0.841413659907483;-4.753424308822899;-0.26504934011099746
1955-05-01;92.98721;87.65955956376254;5.327653571003083;87.65955956376254;5.327653571003083;-0.5090144219113382;-2.284939866383625;-0.15201432175622318;-0.5090144219113382;-2.284939866383625;-0.15201432175622318
1955-06-01;15.68613;129.564552364256;-113.87842279424868;129.564552364256;-113.87842279424868;-0.224684798897076;-2.1882530800041;-0.20270760214737263;-0.224684798897076;-2.1882530800041;-0.20270760214737263
1955-07-01;4.899033;139.30468877016534;-134.40565570055475;139.30468877016534;-134.40565570055475;-0.10927204690211682;-2.53943502156447;-0.27122654612453956;-0.10927204690211682;-2.53943502156447;-0.27122654612453956
1955-08-01;0.026942952;131.30333003682154;-131.2763870852168;131.30333003682154;-131.2763870852168;-0.9559271727655313;-4.753424308822899;-0.2803510849959739;-0.9559271727655313;-4.753424308822899;-0.2803510849959739
1955-09-01;15.344423;88.06490395820984;-72.72048066414246;88.06490395820984;-72.72048066414246;-0.5165543767851505;-4.753424308822899;-0.24340908082802135;-0.5165543767851505;-4.753424308822899;-0.24340908082802135
1955-10-01;3.2237394;56.24491400315148;-53.02117461754662;56.24491400315148;-53.02117461754662;-1.9496488904268632;-4.753424308822899;-0.35171607624075024;-1.9496488904268632;-4.753424308822899;-0.35171607624075024
1955-11-01;165.50983;18.942614720309123;146.56721193984714;18.942614720309123;146.56721193984714;0.1889495535831767;-1.2712008634630148;-0.44470795323644735;0.1889495535831767;-1.2712008634630148;-0.44470795323644735
1955-12-01;120.48306;2.398200038522542;118.08486270561808;2.398200038522542;118.08486270561808;0.1501287489758957;-1.6384249678971354;-0.28867295320434533;0.1501287489758957;-1.6384249678971354;-0.28867295320434533
1956-01-01;117.70652;4.622564075171209;113.0839560053952;4.622564075171209;113.0839560053952;0.3747211064544532;-0.48703823121775974;-0.7405804609092536;0.3747211064544532;-0.48703823121775974;-0.7405804609092536
1956-02-01;222.46552;5.348817097746826;217.11669803897192;5.348817097746826;217.11669803897192;0.5152327439971004;0.05309213663990597;-0.9179207803524427;0.5152327439971004;0.05309213663990597;-0.9179207803524427
1956-03-01;194.12318;8.018715296403707;186.10446890769785;8.018715296403707;186.10446890769785;0.5458584630178132;0.27005695449626704;-0.7883340217643406;0.5458584630178132;0.27005695449626704;-0.7883340217643406
1956-04-01;112.477936;28.723546932000808;83.75438885901482;28.723546932000808;83.75438885901482;0.5359130658523463;0.28190878287555127;-0.9972096233256181;0.5359130658523463;0.28190878287555127;-0.9972096233256181
1956-05-01;69.55479;57.23072879633564;12.324057885793266;57.23072879633564;12.324057885793266;0.16045538791506814;0.2986886283651177;-0.7436084229140577;0.16045538791506814;0.2986886283651177;-0.7436084229140577
1956-06-01;11.029004;125.88794715331397;-114.85894305632911;125.88794715331397;-114.85894305632911;-0.12614603540657834;0.2970588697094561;-0.7187450747189553;-0.12614603540657834;0.2970588697094561;-0.7187450747189553
1956-07-01;0.12259762;143.9136766521719;-143.79107903228072;143.9136766521719;-143.79107903228072;-0.15286465164390484;0.26766156449906064;-0.7777828201034959;-0.15286465164390484;0.26766156449906064;-0.7777828201034959
1956-08-01;2.7419803;121.93050268871454;-119.18852237445978;121.93050268871454;-119.18852237445978;-0.8533633229529084;0.29202922505058826;-0.7869245327697373;-0.8533633229529084;0.29202922505058826;-0.7869245327697373
1956-09-01;7.8802595;81.97075376881342;-74.09049425495844;81.97075376881342;-74.09049425495844;-0.44632154361897836;0.29436991161211534;-0.8131058960761051;-0.44632154361897836;0.29436991161211534;-0.8131058960761051
1956-10-01;4.971863;55.581390765219936;-50.609527972251186;55.581390765219936;-50.609527972251186;-1.1964142999691723;0.30902545413317656;-0.8117030471331057;-1.1964142999691723;0.30902545413317656;-0.8117030471331057
1956-11-01;88.69452;10.926444697380227;77.76807434558853;10.926444697380227;77.76807434558853;-0.45371491145583537;0.15100406204263125;-0.6161393490833351;-0.45371491145583537;0.15100406204263125;-0.6161393490833351
1956-12-01;166.70862;3.625375772177808;163.08324239188468;3.625375772177808;163.08324239188468;0.024675475197657018;0.30510951138556947;-0.4774621769134145;0.024675475197657018;0.30510951138556947;-0.4774621769134145
1957-01-01;122.92668;3.312252679466263;119.61442883908842;3.312252679466263;119.61442883908842;0.3017823620818721;0.2773916827717549;-0.14571353733002332;0.3017823620818721;0.2773916827717549;-0.14571353733002332
1957-02-01;102.30163;5.063360314045408;97.23826779874756;5.063360314045408;97.23826779874756;0.2165481628179038;-0.06297053593338817;-0.13996753868328918;0.2165481628179038;-0.06297053593338817;-0.13996753868328918
1957-03-01;204.38995;11.079917667983935;193.31003594529733;11.079917667983935;193.31003594529733;0.08246325505447857;-0.055038356977744354;0.06292938523995367;0.08246325505447857;-0.055038356977744354;0.06292938523995367
1957-04-01;105.32293;33.72671518477232;71.5962141975519;33.72671518477232;71.5962141975519;-0.0615666930256172;-0.1286346316077486;0.0753671217073856;-0.0615666930256172;-0.1286346316077486;0.0753671217073856
1957-05-01;131.57674;63.61847805738992;67.95825839280539;63.61847805738992;67.95825839280539;0.4059912786756207;0.07196492785045323;0.1679223839701609;0.4059912786756207;0.07196492785045323;0.1679223839701609
1957-06-01;37.961254;117.0329555852115;-79.07170146533845;117.0329555852115;-79.07170146533845;0.38949715098058774;0.1775644439271116;0.2303346939423138;0.38949715098058774;0.1775644439271116;0.2303346939423138
1957-07-01;8.042772;136.5043006259091;-128.4615283328183;136.5043006259091;-128.4615283328183;0.8142308350641003;0.21446357030342356;0.2343406297048763;0.8142308350641003;0.21446357030342356;0.2343406297048763
1957-08-01;13.160859;121.23327324658767;-108.07241413861648;121.23327324658767;-108.07241413861648;0.8613628920018478;0.2401096364166582;0.27234835977630134;0.8613628920018478;0.2401096364166582;0.27234835977630134
1957-09-01;6.1779466;84.99803521789899;-78.82008865036359;84.99803521789899;-78.82008865036359;0.35472778324237625;0.23257230067184748;0.26015096417039096;0.35472778324237625;0.23257230067184748;0.26015096417039096
1957-10-01;41.989582;48.89511026718006;-6.90552820541248;48.89511026718006;-6.90552820541248;0.04772829216396509;0.3435042884800898;0.34249606484129685;0.04772829216396509;0.3435042884800898;0.34249606484129685
